collection_batch,regime,run_name,horizon_events,n_observations,mean_return_bps,mean_abs_return_bps,median_abs_return_bps,share_abs_return_ge_0_5bps,share_abs_return_ge_1_0bps,share_abs_return_ge_2_0bps
weekday_active_tue_day28,Tuesday Day 28,20260707_210036,20,2891,0.02489168453478787,0.8311370926539676,0.6103682790037368,0.560359737115185,0.34451746800415084,0.0888965755793843
weekday_active_tue_day28,Tuesday Day 28,20260707_210036,50,2861,0.07411589005923443,1.5718738586652445,1.252570705658762,0.7927298147500874,0.588255854596295,0.27123383432366305
weekday_active_tue_day28,Tuesday Day 28,20260707_210036,100,2811,0.1364190468392313,2.2453272704591316,1.8307495511127314,0.8541444325862683,0.7221629313411597,0.47705442902881534
weekday_active_tue_day28,Tuesday Day 28,20260707_210550,10,2899,-0.045489818414873325,0.44301301918635705,0.0,0.3449465332873405,0.15798551224560192,0.031045187995860642
weekday_active_tue_day28,Tuesday Day 28,20260707_210550,20,2889,-0.09654284853637288,0.774312459755269,0.5794264461189691,0.5351332641052268,0.29041190723433713,0.09034267912772585
weekday_active_tue_day28,Tuesday Day 28,20260707_210550,50,2859,-0.26864738179044145,1.4546991331839312,1.2056748138444817,0.7404686953480237,0.5229101084295208,0.28296607205316543
weekday_active_tue_day28,Tuesday Day 28,20260707_210550,100,2809,-0.5948136759438604,2.090643217035307,1.5815289940457333,0.8341046635813457,0.6372374510501958,0.4346742613029548
weekday_active_tue_day28,Tuesday Day 28,20260707_211103,10,2902,0.03869775639522034,0.44304381620233835,0.0,0.3059958649207443,0.1847002067539628,0.033425223983459686
weekday_active_tue_day28,Tuesday Day 28,20260707_211103,20,2892,0.08095070797077011,0.7690856109678692,0.454375597837009,0.4681881051175657,0.32918395573997233,0.09508990318118948
weekday_active_tue_day28,Tuesday Day 28,20260707_211103,50,2862,0.1975330712445315,1.3975024480282494,1.1597455500028664,0.6900768693221523,0.5789657582110412,0.2585604472396925
weekday_active_tue_day28,Tuesday Day 28,20260707_211103,100,2812,0.4091411817869079,1.9202029300037733,1.5512536558270895,0.7912517780938834,0.6276671408250356,0.3581081081081081
weekday_active_tue_day28,Tuesday Day 28,20260707_211616,10,2897,0.011841618048824266,0.6640594802302161,0.31302162118551635,0.4200897480151881,0.2616499827407663,0.08318950638591646
weekday_active_tue_day28,Tuesday Day 28,20260707_211616,20,2887,0.023776928408548344,1.13466760004691,0.7208907074840454,0.603740907516453,0.4225839972289574,0.19501212331139592
weekday_active_tue_day28,Tuesday Day 28,20260707_211616,50,2857,0.06786311957643947,2.0619308130617977,1.4570990098772274,0.7875393769688485,0.6454322716135806,0.3927196359817991
weekday_active_tue_day28,Tuesday Day 28,20260707_211616,100,2807,0.1816719494629439,2.9949926355052123,2.1157238243829646,0.8742429640185251,0.7410046312789454,0.5283220520128251
weekday_active_tue_day28,Tuesday Day 28,20260707_212131,10,2902,0.05387055676837106,0.6389907065121427,0.4218931282196081,0.4669193659545141,0.25430737422467264,0.0651274982770503
weekday_active_tue_day28,Tuesday Day 28,20260707_212131,20,2892,0.10894550690396806,1.0674883567000766,0.7666593912247777,0.6434993084370678,0.42496542185338865,0.17081604426002767
weekday_active_tue_day28,Tuesday Day 28,20260707_212131,50,2862,0.26236005530615186,1.684900457074118,1.3593590700100577,0.7962962962962963,0.6215932914046122,0.32075471698113206
weekday_active_tue_day28,Tuesday Day 28,20260707_212131,100,2812,0.4870144649996882,2.1645190630978766,1.8612347806890028,0.8769559032716927,0.7339971550497866,0.447724039829303
weekday_active_tue_day28,Tuesday Day 28,20260707_212646,10,2901,-0.006805179721133425,0.4027765048388007,0.0,0.3322992071699414,0.15408479834539815,0.027576697690451568
weekday_active_tue_day28,Tuesday Day 28,20260707_212646,20,2891,-0.016755443707921838,0.6885764937783506,0.5314056852601112,0.5164303009339329,0.28917329643721895,0.07436873054306468
weekday_active_tue_day28,Tuesday Day 28,20260707_212646,50,2861,-0.05092830262943335,1.2633247290084386,1.0004853917400247,0.6861237329605033,0.5368752184550857,0.22439706396364908
weekday_active_tue_day28,Tuesday Day 28,20260707_212646,100,2811,-0.11364298387104493,1.8766935302598664,1.546943887344998,0.8335112059765208,0.6791177516897902,0.37637851298470293
weekday_active_tue_day28,Tuesday Day 28,20260707_213157,10,2902,0.017745816385381863,0.347264965305517,0.0,0.2725706409372846,0.13714679531357685,0.01722949689869056
weekday_active_tue_day28,Tuesday Day 28,20260707_213157,20,2892,0.035082200558048,0.6354381439696677,0.3753193146338596,0.44432918395573995,0.2548409405255878,0.05843706777316736
weekday_active_tue_day28,Tuesday Day 28,20260707_213157,50,2862,0.0911680910966643,1.3328333529953973,1.2035678753663515,0.7386443046820406,0.5566037735849056,0.22606568832983928
weekday_active_tue_day28,Tuesday Day 28,20260707_213157,100,2812,0.15648382189910393,2.0831742357838925,1.829241139001958,0.8477951635846372,0.7080369843527738,0.4487908961593172
weekday_active_tue_day28,Tuesday Day 28,20260707_213712,10,2902,0.0011219073716031305,0.3450220511242693,0.0,0.27980702963473464,0.13818056512749827,0.02653342522398346
weekday_active_tue_day28,Tuesday Day 28,20260707_213712,20,2892,0.005534245487562182,0.6346789535526977,0.29655735926614746,0.46265560165975106,0.2697095435684647,0.07330567081604426
weekday_active_tue_day28,Tuesday Day 28,20260707_213712,50,2862,0.001545181170288735,1.2716926701173559,0.9855091053989629,0.7092941998602376,0.49930118798043327,0.2348008385744235
weekday_active_tue_day28,Tuesday Day 28,20260707_213712,100,2812,0.012239116151008337,1.974364681525566,1.5793428213783933,0.8474395448079659,0.6216216216216216,0.3741109530583215
weekday_active_tue_day28,Tuesday Day 28,20260707_214226,10,2899,0.01684076749712632,0.3142022506817728,0.0,0.26112452569851674,0.11383235598482236,0.015522593997930321
weekday_active_tue_day28,Tuesday Day 28,20260707_214226,20,2889,0.035134549388638255,0.5513398131070267,0.2187525635066745,0.4305988231221876,0.21564555209415023,0.04430598823122188
weekday_active_tue_day28,Tuesday Day 28,20260707_214226,50,2859,0.08288641873294686,1.1231906656900754,0.8747997528679718,0.6953480237845401,0.41867785939139557,0.1626442812172088
weekday_active_tue_day28,Tuesday Day 28,20260707_214226,100,2809,0.12385888680347508,1.7857568122465453,1.4057942151568525,0.8177287290850836,0.6397294410822356,0.34282662869348524
weekday_active_tue_day28,Tuesday Day 28,20260707_214739,10,2901,0.10834836044365026,0.46645864476630505,0.0,0.31402964495001723,0.17028610823853843,0.047569803516028956
weekday_active_tue_day28,Tuesday Day 28,20260707_214739,20,2891,0.21601443018155325,0.7936730935251797,0.43727009158556207,0.46523694223452094,0.2767208578346593,0.11518505707367693
weekday_active_tue_day28,Tuesday Day 28,20260707_214739,50,2861,0.5501431704185298,1.4900661305466039,0.9375769106068077,0.6749388325760224,0.45858091576371895,0.2778748689269486
weekday_active_tue_day28,Tuesday Day 28,20260707_214739,100,2811,1.1678526574410548,2.1317209726802044,1.2969307274923736,0.7741017431519033,0.5667022411953042,0.3742440412664532
weekday_active_tue_day28,Tuesday Day 28,20260707_215251,10,2888,-0.07573288461211233,0.4462486322591507,0.09369877042197938,0.33898891966759004,0.16447368421052633,0.037742382271468145
weekday_active_tue_day28,Tuesday Day 28,20260707_215251,20,2878,-0.1513239850875608,0.7492325935656492,0.5462608832729199,0.5201528839471855,0.2943015983321751,0.08929812369701182
weekday_active_tue_day28,Tuesday Day 28,20260707_215251,50,2848,-0.3708200161484628,1.4448764758461663,1.138494045953009,0.7359550561797753,0.5375702247191011,0.273876404494382
weekday_active_tue_day28,Tuesday Day 28,20260707_215251,100,2798,-0.70663182322227,2.2956275344752837,1.9816455928289844,0.8645461043602574,0.7355253752680486,0.49428162973552536
weekday_active_tue_day28,Tuesday Day 28,20260707_215805,10,2900,0.010299350632517863,0.4626576458220395,0.1563312189534205,0.36,0.17896551724137932,0.035517241379310345
weekday_active_tue_day28,Tuesday Day 28,20260707_215805,20,2890,0.018568305612034763,0.7700112818851939,0.5002223645711457,0.5128027681660899,0.3259515570934256,0.09446366782006921
weekday_active_tue_day28,Tuesday Day 28,20260707_215805,50,2860,0.023852367111134587,1.385216730383232,1.030841690049522,0.7097902097902098,0.5115384615384615,0.26503496503496504
weekday_active_tue_day28,Tuesday Day 28,20260707_215805,100,2810,0.04911743837801813,2.1349244839985726,1.7200897886859856,0.8295373665480427,0.6626334519572954,0.45266903914590745
weekday_active_tue_day28,Tuesday Day 28,20260707_220321,10,2900,0.06011980731928753,0.3063003133184175,0.0,0.25517241379310346,0.10586206896551724,0.010689655172413793
weekday_active_tue_day28,Tuesday Day 28,20260707_220321,20,2890,0.11846709212701001,0.5686776329328874,0.359527518314362,0.43910034602076126,0.21972318339100347,0.045674740484429065
weekday_active_tue_day28,Tuesday Day 28,20260707_220321,50,2860,0.27389290549057627,1.210250772351612,1.0778378572573466,0.7538461538461538,0.5384615384615384,0.19685314685314687
weekday_active_tue_day28,Tuesday Day 28,20260707_220321,100,2810,0.5062808871315293,1.8148541910002312,1.6083785592213573,0.8676156583629894,0.7583629893238434,0.38647686832740213
weekday_active_wed_day29,Wednesday Day 29,20260708_185955,10,2905,0.010105630246775658,0.8175178883879378,0.5972418724664585,0.5566265060240964,0.3280550774526678,0.10258175559380378
weekday_active_wed_day29,Wednesday Day 29,20260708_185955,20,2895,0.01713475991557284,1.2711211493085008,1.0007368328457389,0.7043177892918826,0.5012089810017271,0.22728842832469776
weekday_active_wed_day29,Wednesday Day 29,20260708_185955,50,2865,0.0646784027564113,2.0996893056054944,1.8732745889493696,0.8586387434554974,0.7172774869109948,0.4649214659685864
weekday_active_wed_day29,Wednesday Day 29,20260708_185955,100,2815,0.16641560632428753,2.661337408446631,2.3096571935721233,0.883126110124334,0.7619893428063943,0.5733570159857904
weekday_active_wed_day29,Wednesday Day 29,20260708_190508,10,2898,0.0514354561336255,0.6710049621095499,0.43587791866750436,0.47377501725327814,0.23567977915804003,0.07625948930296757
weekday_active_wed_day29,Wednesday Day 29,20260708_190508,20,2888,0.10119891025837477,1.1033650627078018,0.7905756923787255,0.6530470914127424,0.40304709141274236,0.1804016620498615
weekday_active_wed_day29,Wednesday Day 29,20260708_190508,50,2858,0.24360645799964514,1.8381828724151577,1.3071526262065092,0.7627711686494052,0.6102169349195241,0.3715885234429671
weekday_active_wed_day29,Wednesday Day 29,20260708_190508,100,2808,0.44715115550264417,2.4731747022268222,2.0490629570568686,0.8500712250712251,0.7446581196581197,0.5174501424501424
weekday_active_wed_day29,Wednesday Day 29,20260708_191023,10,2905,-0.053164989189405834,0.6083435131879682,0.27409827713209545,0.4306368330464716,0.2117039586919105,0.07056798623063683
weekday_active_wed_day29,Wednesday Day 29,20260708_191023,20,2895,-0.09511061580241409,0.9824352316109445,0.7100639460988489,0.5993091537132987,0.3488773747841105,0.1457685664939551
weekday_active_wed_day29,Wednesday Day 29,20260708_191023,50,2865,-0.1888728120200178,1.853658452453262,1.545899943236062,0.8017452006980803,0.5968586387434555,0.34520069808027926
weekday_active_wed_day29,Wednesday Day 29,20260708_191023,100,2815,-0.2464574702194997,3.022787852170595,2.4963541150790913,0.9268206039076377,0.7889875666074601,0.5541740674955595
weekday_active_wed_day29,Wednesday Day 29,20260708_191538,10,2905,0.012140056392731191,0.7907512068032697,0.6299909620532951,0.5776247848537005,0.31738382099827883,0.06919104991394148
weekday_active_wed_day29,Wednesday Day 29,20260708_191538,20,2895,0.018260758065739985,1.2713244560883528,0.9218743808692142,0.7550949913644214,0.47253886010362695,0.20449050086355786
weekday_active_wed_day29,Wednesday Day 29,20260708_191538,50,2865,0.039559815185290365,2.257161416217594,1.888197715280704,0.8589877835951134,0.7162303664921466,0.4631762652705061
weekday_active_wed_day29,Wednesday Day 29,20260708_191538,100,2815,0.07187564636637234,3.4791425219823244,3.1024461656903313,0.9271758436944938,0.8284191829484903,0.6518650088809946
weekday_active_wed_day29,Wednesday Day 29,20260708_192052,10,2905,0.004862129572994913,0.7131009065955138,0.5479165071942127,0.5232358003442341,0.2664371772805508,0.0685025817555938
weekday_active_wed_day29,Wednesday Day 29,20260708_192052,20,2895,0.01032432257066701,1.1036190028413648,0.7885071066215943,0.6680483592400691,0.40345423143350606,0.1785837651122625
weekday_active_wed_day29,Wednesday Day 29,20260708_192052,50,2865,0.047389152389190024,1.785636396872421,1.401197460128012,0.7916230366492146,0.618848167539267,0.34764397905759165
weekday_active_wed_day29,Wednesday Day 29,20260708_192052,100,2815,0.12361800216367089,2.3885609891606827,1.8375345444399116,0.8330373001776199,0.6802841918294849,0.47602131438721135
weekday_active_wed_day29,Wednesday Day 29,20260708_192607,10,2906,-0.08259414092430363,0.7089331334428346,0.4838307785726137,0.4969029593943565,0.2646249139710943,0.0774260151410874
weekday_active_wed_day29,Wednesday Day 29,20260708_192607,20,2896,-0.17185074964239522,1.2157393604920383,0.9201183893425835,0.7026933701657458,0.4578729281767956,0.1899171270718232
weekday_active_wed_day29,Wednesday Day 29,20260708_192607,50,2866,-0.484871848237916,2.1049449737003507,1.660630308674138,0.8220516399162596,0.6894626657362177,0.4323098394975576
weekday_active_wed_day29,Wednesday Day 29,20260708_192607,100,2816,-0.9916944129971497,3.1842180912300146,2.7191288408279224,0.9112215909090909,0.8128551136363636,0.5962357954545454
weekday_active_wed_day29,Wednesday Day 29,20260708_193122,10,2905,-0.008542063454432649,0.8066346868676174,0.614146873225696,0.5580034423407917,0.3270223752151463,0.10533562822719449
weekday_active_wed_day29,Wednesday Day 29,20260708_193122,20,2895,-0.0138649986037564,1.2117127475752283,0.9516704639400686,0.703972366148532,0.4770293609671848,0.21830742659758204
weekday_active_wed_day29,Wednesday Day 29,20260708_193122,50,2865,-0.003144299286863846,1.9051970532564222,1.551666870054369,0.8108202443280977,0.6408376963350786,0.4013961605584642
weekday_active_wed_day29,Wednesday Day 29,20260708_193122,100,2815,0.03177746943666861,2.9831935589437553,2.5210430330724343,0.908348134991119,0.8184724689165187,0.5850799289520426
weekday_active_wed_day29,Wednesday Day 29,20260708_193638,10,2906,-0.0069110651605713384,0.5666624726165916,0.38780295186224834,0.46145905024088096,0.21507226428079834,0.03716448726772195
weekday_active_wed_day29,Wednesday Day 29,20260708_193638,20,2896,-0.014805425286782022,0.9274700854433237,0.7350139642814391,0.6422651933701657,0.36982044198895025,0.10808011049723756
weekday_active_wed_day29,Wednesday Day 29,20260708_193638,50,2866,-0.009828667467552368,1.5818244802160875,1.2756698275828704,0.7986741102581996,0.5900209351011864,0.3035589672016748
weekday_active_wed_day29,Wednesday Day 29,20260708_193638,100,2816,0.029735172558369417,2.240031673976186,1.7765359970611794,0.8565340909090909,0.7325994318181818,0.4620028409090909
weekday_active_wed_day29,Wednesday Day 29,20260708_194153,10,2906,-0.10038393756933811,0.6207074000814499,0.2423598089884571,0.4363386097728837,0.22677219545767377,0.08121128699242945
weekday_active_wed_day29,Wednesday Day 29,20260708_194153,20,2896,-0.20124825590351197,0.9869336852294618,0.6480367212502447,0.5911602209944752,0.35290055248618785,0.15469613259668508
weekday_active_wed_day29,Wednesday Day 29,20260708_194153,50,2866,-0.5022927248456112,1.7570921547885232,1.179756986220415,0.7250523377529658,0.5537334263782275,0.29937194696441033
