evaluation_method,model,cost_scenario,round_trip_cost_bps,n_trades_or_episodes,gross_mean_signed_return_bps,net_mean_signed_return_bps,net_median_signed_return_bps,net_positive_share
cooldown_first_signal,lightgbm_dynamic_full,very_low_cost,1.0,13,1.7019139058964514,0.7019139058964512,0.24364951372468724,0.6923076923076923
cooldown_first_signal,lightgbm_dynamic_full,low_cost,2.0,13,1.7019139058964514,-0.2980860941035488,-0.7563504862753128,0.38461538461538464
cooldown_first_signal,lightgbm_dynamic_full,medium_cost,3.0,13,1.7019139058964514,-1.2980860941035486,-1.7563504862753128,0.23076923076923078
cooldown_first_signal,lightgbm_dynamic_full,near_best_raw_edge,3.5,13,1.7019139058964514,-1.798086094103549,-2.2563504862753128,0.23076923076923078
cooldown_first_signal,lightgbm_dynamic_full,high_cost,4.0,13,1.7019139058964514,-2.298086094103549,-2.7563504862753128,0.15384615384615385
cooldown_first_signal,lightgbm_dynamic_full,expensive_taker_like,5.0,13,1.7019139058964514,-3.2980860941035486,-3.7563504862753128,0.07692307692307693
cooldown_first_signal,lightgbm_dynamic_full,very_expensive_round_trip,9.0,13,1.7019139058964514,-7.2980860941035495,-7.756350486275313,0.07692307692307693
cooldown_first_signal,logit_dynamic_compact,no_cost,0.0,23,0.5605121953098176,0.5605121953098176,0.2584206781763853,0.6521739130434783
cooldown_first_signal,logit_dynamic_compact,very_low_cost,1.0,23,0.5605121953098176,-0.43948780469018245,-0.7415793218236146,0.391304347826087
cooldown_first_signal,logit_dynamic_compact,low_cost,2.0,23,0.5605121953098176,-1.4394878046901824,-1.7415793218236146,0.30434782608695654
cooldown_first_signal,logit_dynamic_compact,medium_cost,3.0,23,0.5605121953098176,-2.4394878046901822,-2.7415793218236146,0.2608695652173913
cooldown_first_signal,logit_dynamic_compact,near_best_raw_edge,3.5,23,0.5605121953098176,-2.9394878046901822,-3.2415793218236146,0.17391304347826086
cooldown_first_signal,logit_dynamic_compact,high_cost,4.0,23,0.5605121953098176,-3.4394878046901822,-3.7415793218236146,0.13043478260869565
cooldown_first_signal,logit_dynamic_compact,expensive_taker_like,5.0,23,0.5605121953098176,-4.439487804690183,-4.741579321823615,0.08695652173913043
cooldown_first_signal,logit_dynamic_compact,very_expensive_round_trip,9.0,23,0.5605121953098176,-8.439487804690184,-8.741579321823615,0.0
cooldown_first_signal,xgboost_dynamic_compact,no_cost,0.0,12,2.0903719386526167,2.0903719386526167,1.7532378132090187,0.8333333333333334
cooldown_first_signal,xgboost_dynamic_compact,very_low_cost,1.0,12,2.0903719386526167,1.090371938652617,0.7532378132090187,0.75
cooldown_first_signal,xgboost_dynamic_compact,low_cost,2.0,12,2.0903719386526167,0.09037193865261688,-0.24676218679098127,0.4166666666666667
cooldown_first_signal,xgboost_dynamic_compact,medium_cost,3.0,12,2.0903719386526167,-0.9096280613473832,-1.2467621867909813,0.3333333333333333
cooldown_first_signal,xgboost_dynamic_compact,near_best_raw_edge,3.5,12,2.0903719386526167,-1.409628061347383,-1.7467621867909813,0.25
cooldown_first_signal,xgboost_dynamic_compact,high_cost,4.0,12,2.0903719386526167,-1.909628061347383,-2.2467621867909813,0.16666666666666666
cooldown_first_signal,xgboost_dynamic_compact,expensive_taker_like,5.0,12,2.0903719386526167,-2.9096280613473833,-3.2467621867909813,0.16666666666666666
cooldown_first_signal,xgboost_dynamic_compact,very_expensive_round_trip,9.0,12,2.0903719386526167,-6.909628061347383,-7.246762186790981,0.08333333333333333
cooldown_first_signal,xgboost_dynamic_full,no_cost,0.0,11,1.889570221541267,1.889570221541267,1.1629155909020916,0.9090909090909091
cooldown_first_signal,xgboost_dynamic_full,very_low_cost,1.0,11,1.889570221541267,0.8895702215412672,0.16291559090209162,0.6363636363636364
cooldown_first_signal,xgboost_dynamic_full,low_cost,2.0,11,1.889570221541267,-0.11042977845873286,-0.8370844090979084,0.36363636363636365
cooldown_first_signal,xgboost_dynamic_full,medium_cost,3.0,11,1.889570221541267,-1.110429778458733,-1.8370844090979084,0.2727272727272727
cooldown_first_signal,xgboost_dynamic_full,near_best_raw_edge,3.5,11,1.889570221541267,-1.610429778458733,-2.3370844090979084,0.18181818181818182
cooldown_first_signal,xgboost_dynamic_full,high_cost,4.0,11,1.889570221541267,-2.110429778458733,-2.8370844090979084,0.18181818181818182
cooldown_first_signal,xgboost_dynamic_full,expensive_taker_like,5.0,11,1.889570221541267,-3.110429778458733,-3.8370844090979084,0.09090909090909091
cooldown_first_signal,xgboost_dynamic_full,very_expensive_round_trip,9.0,11,1.889570221541267,-7.110429778458734,-7.837084409097908,0.09090909090909091
episode_first_signal,hist_gradient_boosting_dynamic_full,no_cost,0.0,13,2.5367301128967985,2.5367301128967985,2.568628005314988,0.8461538461538461
