model,threshold,cost_scenario,round_trip_cost_bps,signal_group,n_signals,coverage,gross_mean_signed_return_bps,net_mean_signed_return_bps,net_median_signed_return_bps,net_positive_share,gross_positive_share,mean_future_return_bps
logit_full,0.6,moderate_cost,2.0,down,480,0.4,0.14031419191829161,-1.8596858080817082,-1.5313789710876806,0.06458333333333334,0.6083333333333333,-0.14031419191829161
logit_full,0.6,expensive_taker_like,5.0,down,480,0.4,0.14031419191829161,-4.859685808081709,-4.531378971087681,0.0,0.6083333333333333,-0.14031419191829161
logit_full,0.6,very_expensive_round_trip,9.0,down,480,0.4,0.14031419191829161,-8.859685808081707,-8.53137897108768,0.0,0.6083333333333333,-0.14031419191829161
logit_full,0.6,no_cost,0.0,up,511,0.42583333333333334,0.42253609057240205,0.42253609057240205,0.6136430615955035,0.7181996086105675,0.7181996086105675,0.42253609057240205
logit_full,0.6,very_optimistic_passive_like,0.5,up,511,0.42583333333333334,0.42253609057240205,-0.07746390942759795,0.11364306159550353,0.547945205479452,0.7181996086105675,0.42253609057240205
logit_full,0.6,optimistic_low_cost,1.0,up,511,0.42583333333333334,0.42253609057240205,-0.577463909427598,-0.3863569384044965,0.30528375733855184,0.7181996086105675,0.42253609057240205
logit_full,0.6,moderate_cost,2.0,up,511,0.42583333333333334,0.42253609057240205,-1.5774639094275982,-1.3863569384044965,0.09784735812133072,0.7181996086105675,0.42253609057240205
logit_full,0.6,expensive_taker_like,5.0,up,511,0.42583333333333334,0.42253609057240205,-4.577463909427598,-4.3863569384044965,0.015655577299412915,0.7181996086105675,0.42253609057240205
logit_full,0.6,very_expensive_round_trip,9.0,up,511,0.42583333333333334,0.42253609057240205,-8.577463909427598,-8.386356938404496,0.0,0.7181996086105675,0.42253609057240205
logit_full,0.65,no_cost,0.0,both,870,0.725,0.32376291775839494,0.32376291775839494,0.5493338115769575,0.6873563218390805,0.6873563218390805,0.12401871983109544
logit_full,0.65,very_optimistic_passive_like,0.5,both,870,0.725,0.32376291775839494,-0.1762370822416051,0.04933381157695749,0.5367816091954023,0.6873563218390805,0.12401871983109544
logit_full,0.65,optimistic_low_cost,1.0,both,870,0.725,0.32376291775839494,-0.6762370822416052,-0.4506661884230425,0.3218390804597701,0.6873563218390805,0.12401871983109544
logit_full,0.65,moderate_cost,2.0,both,870,0.725,0.32376291775839494,-1.6762370822416048,-1.4506661884230425,0.08505747126436781,0.6873563218390805,0.12401871983109544
logit_full,0.65,expensive_taker_like,5.0,both,870,0.725,0.32376291775839494,-4.676237082241605,-4.4506661884230425,0.009195402298850575,0.6873563218390805,0.12401871983109544
logit_full,0.65,very_expensive_round_trip,9.0,both,870,0.725,0.32376291775839494,-8.676237082241604,-8.450666188423043,0.0,0.6873563218390805,0.12401871983109544
logit_full,0.65,no_cost,0.0,down,414,0.345,0.20987614999607557,0.20987614999607557,0.5486616030098146,0.6400966183574879,0.6400966183574879,-0.20987614999607557
logit_full,0.65,very_optimistic_passive_like,0.5,down,414,0.345,0.20987614999607557,-0.2901238500039245,0.04866160300981459,0.5193236714975845,0.6400966183574879,-0.20987614999607557
logit_full,0.65,optimistic_low_cost,1.0,down,414,0.345,0.20987614999607557,-0.7901238500039244,-0.4513383969901854,0.3357487922705314,0.6400966183574879,-0.20987614999607557
