deadzone_type,horizon,dead_zone_bps,total_rows,up_count,down_count,flat_count,unknown_count,nonflat_count,up_share_total,down_share_total,flat_share_total,unknown_share_total,nonflat_share_total,up_share_nonflat,mean_abs_return_bps_nonflat,median_abs_return_bps_nonflat
bps,20,0.5,69904,3722,3899,61803,480,7621,0.053244449530785075,0.05577649347676814,0.8841124971389334,0.00686655985351339,0.10902094300755322,0.4883873507413725,1.0591347820104202,0.8467759007568798
bps,20,1.0,69904,1375,1371,66678,480,2746,0.01966983291371023,0.01961261158159762,0.9538509956511788,0.00686655985351339,0.03928244449530785,0.5007283321194465,1.6793216093971932,1.3774512826714158
bps,20,2.0,69904,251,228,68945,480,479,0.0035906385900663766,0.0032616159304188603,0.9862811856260014,0.00686655985351339,0.006852254520485237,0.524008350730689,3.219153131711035,2.8588472137824894
bps,20,3.0,69904,91,113,69220,480,204,0.0013017853055619134,0.001616502632181277,0.9902151522087435,0.00686655985351339,0.0029182879377431907,0.44607843137254904,4.263713080439014,3.4047722758834276
bps,20,5.0,69904,22,18,69384,480,40,0.0003147173266193637,0.0002574959945067521,0.9925612268253605,0.00686655985351339,0.0005722133211261158,0.55,7.596812136634907,7.463270518413001
bps,50,0.0,69904,14531,14396,39777,1200,28927,0.20787079423208973,0.20593957427328907,0.5690232318608377,0.017166399633783476,0.4138103685053788,0.50233346008919,0.7696868294675868,0.6083304450976712
bps,50,0.25,69904,10955,10876,46873,1200,21831,0.15671492332341497,0.1555848020141909,0.6705338750286106,0.017166399633783476,0.31229972533760586,0.5018093536713847,0.9896235156121717,0.7506338463980633
bps,50,0.5,69904,8109,8735,51860,1200,16844,0.11600194552529183,0.12495708400091554,0.7418745708400092,0.017166399633783476,0.24095902952620737,0.48141771550700546,1.168843835531811,0.9119379882172041
bps,50,1.0,69904,3750,3646,61308,1200,7396,0.053644998855573355,0.05215724422064546,0.8770313572899977,0.017166399633783476,0.10580224307621881,0.5070308274743104,1.7478528399409623,1.4152046780169236
bps,50,2.0,69904,777,793,67134,1200,1570,0.0111152437628748,0.011344129091325246,0.9603742275120165,0.017166399633783476,0.022459372854200046,0.4949044585987261,3.1522776484517223,2.7056905154343447
bps,50,3.0,69904,317,305,68082,1200,622,0.004534790569924468,0.004363126573586633,0.9739356832227054,0.017166399633783476,0.0088979171435111,0.5096463022508039,4.323268752292679,3.5416695045431545
bps,50,5.0,69904,64,49,68591,1200,113,0.0009155413138017853,0.0007009613183794919,0.9812170977340352,0.017166399633783476,0.001616502632181277,0.5663716814159292,7.976034101850921,6.77420720606281
bps,100,0.0,69904,21181,20571,25752,2400,41752,0.30300125886930646,0.2942750057221332,0.3683909361409934,0.03433279926756695,0.5972762645914397,0.5073050392795555,0.9372948164421764,0.688877906003249
bps,100,0.25,69904,16491,16689,34324,2400,33180,0.2359092469672694,0.23874170290684368,0.49101625085831996,0.03433279926756695,0.47465094987411305,0.4970162748643761,1.1543450924705372,0.8642426793437075
bps,100,0.5,69904,12956,13860,40688,2400,26816,0.18533989471274892,0.19827191577019912,0.582055390249485,0.03433279926756695,0.38361181048294807,0.48314439140811455,1.3385213388624428,1.025043904713252
bps,100,1.0,69904,6654,7187,53663,2400,13841,0.09518768596932936,0.10281242847333485,0.7676670862897689,0.03433279926756695,0.19800011444266422,0.4807456108662669,1.90785296375376,1.553186634588588
bps,100,2.0,69904,2069,2042,63393,2400,4111,0.02959773403524834,0.029211490043488213,0.9068579766536965,0.03433279926756695,0.05880922407873655,0.5032838725370956,3.136107480581501,2.6261870886079564
bps,100,3.0,69904,747,826,65931,2400,1573,0.010686083772030213,0.011816205081254291,0.9431649118791485,0.03433279926756695,0.022502288853284504,0.47488874761602035,4.350871404667817,3.5824323276134606
bps,100,5.0,69904,138,106,67260,2400,244,0.0019741359578850995,0.001516365300984207,0.9621766994735638,0.03433279926756695,0.0034905012588693067,0.5655737704918032,8.259847659310951,6.438908261535703
