feature_set,horizon,feature,standardized_coefficient,abs_standardized_coefficient
combined,20,trade_notional_rolling_sum_5e,0.1039560965355986,0.1039560965355986
combined,20,trade_volume_rolling_sum_10e,0.09741668188728828,0.09741668188728828
combined,20,sell_trade_notional,-0.07532885200359893,0.07532885200359893
combined,20,bid_depth_10,-0.07228672542421954,0.07228672542421954
combined,20,notional_imbalance_rolling_10e,0.07158373359721684,0.07158373359721684
combined,20,signed_trade_notional_rolling_sum_50e,0.07142859809381058,0.07142859809381058
combined,20,trade_imbalance_rolling_10e,0.07119752893592594,0.07119752893592594
combined,20,trade_imbalance_rolling_50e,-0.07034108173285362,0.07034108173285362
combined,20,notional_imbalance_rolling_50e,-0.07005380889500079,0.07005380889500079
combined,20,signed_trade_volume,0.06651421063159049,0.06651421063159049
combined,20,trade_count_rolling_sum_5e,0.06190263378822429,0.06190263378822429
combined,20,trade_notional_rolling_sum_10e,0.060762051853446415,0.060762051853446415
combined,20,sell_trade_volume,-0.06053313168047221,0.06053313168047221
combined,20,trade_notional,-0.05295256082532058,0.05295256082532058
combined,20,signed_trade_notional,0.05253929393132688,0.05253929393132688
combined,20,signed_trade_volume_rolling_sum_50e,0.04500816592156064,0.04500816592156064
combined,20,signed_trade_volume_rolling_sum_20e,-0.03203425269715108,0.03203425269715108
combined,20,signed_trade_notional_rolling_sum_10e,0.029862720303784663,0.029862720303784663
combined,20,signed_trade_volume_rolling_sum_10e,0.029796885763692892,0.029796885763692892
combined,20,signed_trade_notional_rolling_sum_20e,-0.029187756705862784,0.029187756705862784
combined,20,buy_trade_volume,0.02800085025842752,0.02800085025842752
combined,20,trade_volume,-0.021086555261925873,0.021086555261925873
combined,20,event_gap_ms,-0.020950654116418443,0.020950654116418443
combined,20,trade_count,0.01935795195276391,0.01935795195276391
combined,20,quote_changed,0.01876249703631316,0.01876249703631316
combined,20,signed_trade_notional_rolling_sum_5e,-0.01303558053589931,0.01303558053589931
combined,20,transaction_lag_ms,-0.011536747022401043,0.011536747022401043
