fold,model,algorithm,feature_set,threshold,validation_raw_signals,validation_cooldown_trades,validation_precision,validation_mean_signed_return_bps,validation_positive_signed_return_share,meets_min_trades
5,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.55,3779,109,0.5412844036697247,0.2225284307009373,0.5412844036697247,True
5,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.6,1892,94,0.648936170212766,0.49835564139142463,0.648936170212766,True
5,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.65,700,71,0.6338028169014085,0.7527426369842692,0.6338028169014085,True
5,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.7,260,41,0.7804878048780488,1.1634142550719941,0.7804878048780488,True
5,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,84,17,0.7647058823529411,1.232723636624705,0.7647058823529411,True
5,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.8,37,10,0.7,0.5241766240005052,0.7,True
5,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.85,6,5,0.6,0.41792447459276794,0.6,True
5,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.9,0,0,,,,False
5,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.95,0,0,,,,False
5,xgboost_dynamic_full,xgboost,dynamic_full,0.55,3850,109,0.5504587155963303,0.3310062123674092,0.5504587155963303,True
5,xgboost_dynamic_full,xgboost,dynamic_full,0.6,1794,89,0.6179775280898876,0.4618087139326395,0.6179775280898876,True
5,xgboost_dynamic_full,xgboost,dynamic_full,0.65,789,70,0.6285714285714286,0.9005148177300772,0.6285714285714286,True
5,xgboost_dynamic_full,xgboost,dynamic_full,0.7,280,39,0.6666666666666666,0.806766727739366,0.6666666666666666,True
5,xgboost_dynamic_full,xgboost,dynamic_full,0.75,90,15,0.7333333333333333,1.4632639999013393,0.7333333333333333,True
5,xgboost_dynamic_full,xgboost,dynamic_full,0.8,51,9,0.7777777777777778,1.1662172400244635,0.7777777777777778,True
5,xgboost_dynamic_full,xgboost,dynamic_full,0.85,16,9,0.6666666666666666,0.3124192857617558,0.6666666666666666,True
5,xgboost_dynamic_full,xgboost,dynamic_full,0.9,1,1,0.0,-3.108760402794619,0.0,False
5,xgboost_dynamic_full,xgboost,dynamic_full,0.95,0,0,,,,False
6,logit_dynamic_compact,logit,dynamic_compact,0.55,4099,110,0.5363636363636364,0.5021812980046115,0.5363636363636364,True
6,logit_dynamic_compact,logit,dynamic_compact,0.6,2351,103,0.6213592233009708,0.8533326250867526,0.6213592233009708,True
6,logit_dynamic_compact,logit,dynamic_compact,0.65,630,82,0.6219512195121951,0.778216197747176,0.6219512195121951,True
