model,algorithm,feature_set,feature,importance,abs_importance,importance_type
lightgbm_dynamic_full,lightgbm,dynamic_full,quote_changed_rolling_sum_5e,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,spread_bps_change_1e,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,best_ask_qty_change_1e,0.0,0.0,feature_importance
lightgbm_dynamic_full,lightgbm,dynamic_full,ask_depth_5_change_1e,0.0,0.0,feature_importance
lightgbm_static_full,lightgbm,static_full,spread_bps,259.0,259.0,feature_importance
lightgbm_static_full,lightgbm,static_full,best_ask_qty,29.0,29.0,feature_importance
lightgbm_static_full,lightgbm,static_full,best_bid_qty,25.0,25.0,feature_importance
lightgbm_static_full,lightgbm,static_full,bid_depth_10,20.0,20.0,feature_importance
lightgbm_static_full,lightgbm,static_full,bid_depth_5,18.0,18.0,feature_importance
lightgbm_static_full,lightgbm,static_full,imbalance_10,18.0,18.0,feature_importance
lightgbm_static_full,lightgbm,static_full,ask_depth_5,15.0,15.0,feature_importance
lightgbm_static_full,lightgbm,static_full,ask_depth_10,15.0,15.0,feature_importance
lightgbm_static_full,lightgbm,static_full,imbalance_1,13.0,13.0,feature_importance
lightgbm_static_full,lightgbm,static_full,imbalance_5,13.0,13.0,feature_importance
lightgbm_static_full,lightgbm,static_full,microprice_deviation_bps,6.0,6.0,feature_importance
lightgbm_static_full,lightgbm,static_full,event_gap_ms,0.0,0.0,feature_importance
lightgbm_static_full,lightgbm,static_full,transaction_lag_ms,0.0,0.0,feature_importance
lightgbm_static_full,lightgbm,static_full,quote_changed,0.0,0.0,feature_importance
logit_dynamic_compact,logit,dynamic_compact,microprice_deviation_bps_rolling_mean_10e,0.5777786740802018,0.5777786740802018,coefficient
logit_dynamic_compact,logit,dynamic_compact,imbalance_5_rolling_mean_10e,-0.49180427417161354,0.49180427417161354,coefficient
logit_dynamic_compact,logit,dynamic_compact,spread_bps_rolling_mean_10e,0.3632593963769573,0.3632593963769573,coefficient
logit_dynamic_compact,logit,dynamic_compact,imbalance_5,0.2817595885850643,0.2817595885850643,coefficient
logit_dynamic_compact,logit,dynamic_compact,microprice_deviation_bps,0.21948953778318497,0.21948953778318497,coefficient
logit_dynamic_compact,logit,dynamic_compact,spread_bps_change_1e,0.16587344607852983,0.16587344607852983,coefficient
logit_dynamic_compact,logit,dynamic_compact,microprice_deviation_bps_change_1e,0.13282582499810192,0.13282582499810192,coefficient
logit_dynamic_compact,logit,dynamic_compact,spread_bps_change_5e,0.12350819254494783,0.12350819254494783,coefficient
logit_dynamic_compact,logit,dynamic_compact,quote_changed_rolling_sum_5e,-0.12085365939589578,0.12085365939589578,coefficient
logit_dynamic_compact,logit,dynamic_compact,microprice_deviation_bps_change_10e,-0.11621180260644555,0.11621180260644555,coefficient
logit_dynamic_compact,logit,dynamic_compact,imbalance_5_rolling_mean_5e,-0.09867056499621192,0.09867056499621192,coefficient
logit_dynamic_compact,logit,dynamic_compact,quote_changed_rolling_sum_10e,0.08851867069824337,0.08851867069824337,coefficient
logit_dynamic_compact,logit,dynamic_compact,imbalance_5_change_10e,0.08298526867342529,0.08298526867342529,coefficient
logit_dynamic_compact,logit,dynamic_compact,mid_return_bps_rolling_std_5e,0.08297961294384441,0.08297961294384441,coefficient
logit_dynamic_compact,logit,dynamic_compact,mid_return_bps_rolling_std_10e,-0.08213683442510152,0.08213683442510152,coefficient
logit_dynamic_compact,logit,dynamic_compact,imbalance_5_change_5e,-0.07770527233582922,0.07770527233582922,coefficient
logit_dynamic_compact,logit,dynamic_compact,microprice_deviation_bps_change_5e,0.07534796521513282,0.07534796521513282,coefficient
logit_dynamic_compact,logit,dynamic_compact,imbalance_5_change_1e,-0.05557683728599389,0.05557683728599389,coefficient
logit_dynamic_compact,logit,dynamic_compact,microprice_deviation_bps_rolling_mean_5e,0.047760895781523816,0.047760895781523816,coefficient
logit_dynamic_compact,logit,dynamic_compact,spread_bps_rolling_mean_5e,-0.04151656391211244,0.04151656391211244,coefficient
logit_dynamic_compact,logit,dynamic_compact,ask_depth_5_change_1e,0.038389525002306746,0.038389525002306746,coefficient
logit_dynamic_compact,logit,dynamic_compact,bid_depth_5_change_1e,0.0380607655890289,0.0380607655890289,coefficient
logit_dynamic_compact,logit,dynamic_compact,best_ask_qty_change_1e,-0.03216089300925431,0.03216089300925431,coefficient
logit_dynamic_compact,logit,dynamic_compact,mid_return_bps_lag_1e,-0.02513831748782223,0.02513831748782223,coefficient
logit_dynamic_compact,logit,dynamic_compact,mid_return_bps_lag_5e,0.009698028487688984,0.009698028487688984,coefficient
logit_dynamic_compact,logit,dynamic_compact,mid_return_bps_lag_2e,0.004999606475961029,0.004999606475961029,coefficient
