evaluation_method,model,algorithm,feature_set,threshold,run_name,signal,cooldown_trade_id,episode_start_row,episode_end_row,episode_duration_events,n_raw_signals_in_episode,target_label,predicted_proba_up,future_mid_return_bps,signed_return_bps,is_correct_signal,is_positive_signed_return,mean_raw_signed_return_bps_in_episode,max_raw_signed_return_bps_in_episode,min_raw_signed_return_bps_in_episode
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,up,5,259,259,0,1,up,0.6572705692754126,3.697260555961535,3.697260555961535,True,True,3.697260555961535,3.697260555961535,3.697260555961535
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,up,6,310,310,0,1,up,0.6840540789588547,1.5493329395432909,1.5493329395432909,True,True,1.5493329395432909,1.5493329395432909,1.5493329395432909
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,up,7,366,366,0,1,up,0.650547860239253,0.9359450503443334,0.9359450503443334,True,True,0.9359450503443334,0.9359450503443334,0.9359450503443334
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,up,8,422,422,0,1,up,0.6581511414663773,0.9035179925120927,0.9035179925120927,True,True,0.9035179925120927,0.9035179925120927,0.9035179925120927
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201249,up,9,484,484,0,1,up,0.6572967637237175,0.1129222586704337,0.1129222586704337,True,True,0.1129222586704337,0.1129222586704337,0.1129222586704337
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201428,down,1,15,15,0,1,down,0.3271099752862293,-1.824727643251478,1.824727643251478,True,True,1.824727643251478,1.824727643251478,1.824727643251478
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201428,up,2,105,105,0,1,up,0.6626927118207712,5.895716882828861,5.895716882828861,True,True,5.895716882828861,5.895716882828861,5.895716882828861
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201428,up,3,177,177,0,1,down,0.6587986631192198,-3.84146995946244,-3.84146995946244,False,False,-3.84146995946244,-3.84146995946244,-3.84146995946244
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201428,down,4,253,253,0,1,down,0.3489673529646916,-4.908993874254142,4.908993874254142,True,True,4.908993874254142,4.908993874254142,4.908993874254142
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201428,down,5,326,326,0,1,down,0.330332057210905,-0.0323136492041964,0.0323136492041964,True,True,0.0323136492041964,0.0323136492041964,0.0323136492041964
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201428,up,6,390,390,0,1,down,0.6555977368846223,-4.4916117534821165,-4.4916117534821165,False,False,-4.4916117534821165,-4.4916117534821165,-4.4916117534821165
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201428,up,7,463,463,0,1,down,0.6614608937044646,-2.020184063010744,-2.020184063010744,False,False,-2.020184063010744,-2.020184063010744,-2.020184063010744
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201605,up,1,16,16,0,1,up,0.7822406719478199,8.450795345189555,8.450795345189555,True,True,8.450795345189555,8.450795345189555,8.450795345189555
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201605,up,2,67,67,0,1,down,0.6548898610261961,-0.9211265215758324,-0.9211265215758324,False,False,-0.9211265215758324,-0.9211265215758324,-0.9211265215758324
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201605,down,3,122,122,0,1,up,0.3357770969738085,4.42881607563228,-4.42881607563228,False,False,-4.42881607563228,-4.42881607563228,-4.42881607563228
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201605,up,4,217,217,0,1,up,0.6518829325761362,0.0807829483351341,0.0807829483351341,True,True,0.0807829483351341,0.0807829483351341,0.0807829483351341
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201605,up,5,298,298,0,1,up,0.6624562173121696,0.2584206781763853,0.2584206781763853,True,True,0.2584206781763853,0.2584206781763853,0.2584206781763853
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201605,down,6,462,462,0,1,up,0.3033658603757301,6.461936367696541,-6.461936367696541,False,False,-6.461936367696541,-6.461936367696541,-6.461936367696541
cooldown_first_signal,logit_dynamic_compact,logit,dynamic_compact,0.65,20260610_201605,up,7,513,513,0,1,down,0.90926487744979,-1.6790184845394407,-1.6790184845394407,False,False,-1.6790184845394407,-1.6790184845394407,-1.6790184845394407
