evaluation_method,model,algorithm,feature_set,threshold,role,n_features,run_name,row_in_run,event_time,target_horizon,target_label,signal,predicted_proba_up,future_mid_return_bps,signed_return_bps,is_correct_signal,is_positive_signed_return,cooldown_trade_id
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1407,1782915612538,50,up,up,0.9150067330048935,0.9660910374242881,0.9660910374242881,True,True,28
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1458,1782915617742,50,up,up,0.8811552574324529,2.231787820266007,2.231787820266007,True,True,29
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1509,1782915622946,50,down,up,0.9547562176016912,-2.4644096781356595,-2.4644096781356595,False,False,30
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1566,1782915628772,50,up,up,0.9078424624701137,2.098739007645456,2.098739007645456,True,True,31
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1617,1782915633974,50,up,up,0.9347078061895303,2.697812523677623,2.697812523677623,True,True,32
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1669,1782915639280,50,down,up,0.9237382886265075,-1.6982748358118638,-1.6982748358118638,False,False,33
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1720,1782915644482,50,down,up,0.911481595610892,-3.447084341160478,-3.447084341160478,False,False,34
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1786,1782915651214,50,down,up,0.943975673065037,-5.445829402315194,-5.445829402315194,False,False,35
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1859,1782915658660,50,down,up,0.8799334661964339,-1.233200764250153,-1.233200764250153,False,False,36
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1910,1782915663862,50,down,up,0.880730502571697,-0.48334098623259436,-0.48334098623259436,False,False,37
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,1961,1782915669066,50,down,up,0.9026018179633888,-1.066735115503592,-1.066735115503592,False,False,38
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2012,1782915674270,50,down,up,0.9323213995274342,-1.6169428944101671,-1.6169428944101671,False,False,39
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2072,1782915680390,50,down,up,0.8525877846356024,-3.301097614957227,-3.301097614957227,False,False,40
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2126,1782915685898,50,up,up,0.8589015141011224,3.885920708870394,3.885920708870394,True,True,41
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2177,1782915691100,50,up,up,0.9412482822278814,2.767434629775689,2.767434629775689,True,True,42
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2228,1782915696301,50,up,up,0.938988128069662,1.683057031469648,1.683057031469648,True,True,43
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2279,1782915701505,50,down,up,0.9523970796077117,-2.932358324190254,-2.932358324190254,False,False,44
