excluded_run_name,remaining_signals,remaining_runs,mean_net_bps,median_net_bps,total_net_bps,model
20260717_201832,218,67,0.15035494541271677,-0.12222456547261634,32.77737809997225,two_stage_sensitivity_0p65_0p65
20260717_202347,223,67,0.09921637898694127,-0.2122777540148881,22.125252514087904,two_stage_sensitivity_0p65_0p65
20260717_202902,223,67,0.06207824916062882,-0.2211287116594675,13.843449562820226,two_stage_sensitivity_0p65_0p65
20260717_203415,223,67,0.08817236348491571,-0.2211287116594675,19.662437057136202,two_stage_sensitivity_0p65_0p65
20260717_203929,224,67,0.10498120623047313,-0.2167032328371778,23.515790195625982,two_stage_sensitivity_0p65_0p65
20260717_204444,224,67,0.10929083627826083,-0.20303195012905023,24.481147326330426,two_stage_sensitivity_0p65_0p65
20260717_204958,224,67,0.11147950407373768,-0.20303195012905023,24.97140891251724,two_stage_sensitivity_0p65_0p65
20260717_210027,222,67,0.07894497283852511,-0.2167032328371778,17.525783970152574,two_stage_sensitivity_0p65_0p65
20260717_210541,222,67,0.08246166440508056,-0.2167032328371778,18.306489497927885,two_stage_sensitivity_0p65_0p65
20260717_211055,224,67,0.10239945003850545,-0.2167032328371778,22.93747680862522,two_stage_sensitivity_0p65_0p65
20260717_212123,223,67,0.12484761099892272,-0.1937861462432124,27.841017252759766,two_stage_sensitivity_0p65_0p65
20260717_212637,224,67,0.10182950708047844,-0.2167032328371778,22.80980958602717,two_stage_sensitivity_0p65_0p65
20260717_214215,223,67,0.10363282878777422,-0.2211287116594675,23.11012081967365,two_stage_sensitivity_0p65_0p65
20260717_214730,223,67,0.11204434704196681,-0.1937861462432124,24.985889390358597,two_stage_sensitivity_0p65_0p65
20260717_215245,224,67,0.1102388331314116,-0.20303195012905023,24.6934986214362,two_stage_sensitivity_0p65_0p65
20260717_220315,223,67,0.09242026613080628,-0.2122777540148881,20.6097193471698,two_stage_sensitivity_0p65_0p65
20260708_185955,68,37,-0.1300303345780798,-0.0635086147489074,-8.842062751309427,two_stage_primary_0p75_0p65
20260708_190508,67,37,-0.02110604610200892,-0.0561474297723343,-1.4141050888345976,two_stage_primary_0p75_0p65
20260708_191023,68,37,-0.12000300226915366,-0.0635086147489074,-8.160204154302448,two_stage_primary_0p75_0p65
20260708_191538,68,37,-0.15384291228405983,-0.0635086147489074,-10.461318035316069,two_stage_primary_0p75_0p65
20260708_192052,68,37,-0.08448681280437643,0.0377533990640897,-5.745103270697598,two_stage_primary_0p75_0p65
20260708_194153,68,37,-0.26066299346895955,-0.0635086147489074,-17.72508355588925,two_stage_primary_0p75_0p65
20260708_195223,66,37,-0.1086748709928633,-0.0635086147489074,-7.172541485528978,two_stage_primary_0p75_0p65
20260708_201318,68,37,-0.09916373191451519,0.0377533990640897,-6.743133770187033,two_stage_primary_0p75_0p65
20260708_202345,68,37,-0.13547145612008335,-0.0635086147489074,-9.212059016165668,two_stage_primary_0p75_0p65
20260708_213144,68,37,-0.1158057058542286,-0.0635086147489074,-7.874787998087545,two_stage_primary_0p75_0p65
20260708_213658,67,37,-0.13426492113668922,-0.0561474297723343,-8.995749716158178,two_stage_primary_0p75_0p65
20260708_215758,68,37,-0.07287364290384633,0.0377533990640897,-4.955407717461551,two_stage_primary_0p75_0p65
20260709_190039,68,37,-0.09286293612400819,0.0377533990640897,-6.314679656432556,two_stage_primary_0p75_0p65
20260709_190555,68,37,-0.06223574238224822,0.0377533990640897,-4.232030481992879,two_stage_primary_0p75_0p65
20260709_194237,68,37,-0.12322113596364805,-0.0635086147489074,-8.379037245528068,two_stage_primary_0p75_0p65
20260709_200334,68,37,-0.1711437675877353,-0.0635086147489074,-11.637776195966001,two_stage_primary_0p75_0p65
20260709_201919,64,37,-0.050672799311631544,0.0377533990640897,-3.243059155944419,two_stage_primary_0p75_0p65
20260709_202431,68,37,-0.2552253374258897,-0.0635086147489074,-17.3553229449605,two_stage_primary_0p75_0p65
20260709_205559,68,37,-0.12573852612260802,-0.0635086147489074,-8.550219776337345,two_stage_primary_0p75_0p65
20260709_212207,68,37,-0.08906332019825948,0.0377533990640897,-6.056305773481645,two_stage_primary_0p75_0p65
20260717_185958,62,37,0.10612776103213134,0.0377533990640897,6.579921183992143,two_stage_primary_0p75_0p65
20260717_190514,65,37,-0.22055593373441207,-0.0708697997254805,-14.336135692736784,two_stage_primary_0p75_0p65
20260717_191029,67,37,-0.03862387061913854,-0.0561474297723343,-2.587799331482282,two_stage_primary_0p75_0p65
20260717_191545,67,37,-0.04301286479678616,0.1316542279005137,-2.881861941384673,two_stage_primary_0p75_0p65
20260717_193127,67,37,-0.14046715006240754,-0.0708697997254805,-9.411299054181304,two_stage_primary_0p75_0p65
20260717_193639,65,37,-0.027733157718661815,0.1316542279005137,-1.802655251713018,two_stage_primary_0p75_0p65
20260717_194153,68,37,-0.03451170609445171,0.0377533990640897,-2.3467960144227167,two_stage_primary_0p75_0p65
20260717_194705,68,37,-0.17550611614954503,-0.0635086147489074,-11.934415898169062,two_stage_primary_0p75_0p65
20260717_200247,64,37,-0.18685563049315299,-0.0635086147489074,-11.958760351561791,two_stage_primary_0p75_0p65
20260717_201317,68,37,-0.1089932648773561,0.0377533990640897,-7.411542011660215,two_stage_primary_0p75_0p65
20260717_202902,67,37,-0.2594153960253318,-0.0708697997254805,-17.380831533697233,two_stage_primary_0p75_0p65
20260717_210027,67,37,-0.15463000383049522,-0.0561474297723343,-10.36021025664318,two_stage_primary_0p75_0p65
20260717_210541,68,37,-0.05284471571189367,0.0377533990640897,-3.5934406684087694,two_stage_primary_0p75_0p65
20260717_212123,68,37,-0.07026777740384593,0.0377533990640897,-4.778208863461524,two_stage_primary_0p75_0p65
