model,algorithm,feature_set,n_features,horizon,threshold,signal_group,n_signals,coverage,precision,mean_future_return_bps,median_future_return_bps,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,break_even_round_trip_cost_bps
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,0.85,up,138,0.08914728682170543,0.9855072463768116,3.991868270995481,3.3435983417695603,3.991868270995481,3.3435983417695603,0.9855072463768116,3.991868270995481
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,0.85,down,91,0.05878552971576227,0.4835164835164835,0.8204460851108247,0.533308768808638,-0.8204460851108247,-0.533308768808638,0.4835164835164835,-0.8204460851108247
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,0.85,both,229,0.1479328165374677,0.7860262008733624,2.7316087997487397,2.6812790993480107,2.0795512124554207,1.8737375491340025,0.7860262008733624,2.0795512124554207
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,0.9,up,75,0.04844961240310078,0.9866666666666667,4.445505894437869,3.8766357585728883,4.445505894437869,3.8766357585728883,0.9866666666666667,4.445505894437869
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,0.9,down,28,0.01808785529715762,0.5714285714285714,0.4007754903062203,-0.24234592224947615,-0.4007754903062203,0.24234592224947615,0.5714285714285714,-0.4007754903062203
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,0.9,both,103,0.0665374677002584,0.8737864077669902,3.3459675321496545,3.0690528822030494,3.128070178196758,3.0528950409847155,0.8737864077669902,3.128070178196758
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,0.95,up,12,0.007751937984496124,1.0,7.698630718512844,8.360683441399619,7.698630718512844,8.360683441399619,1.0,7.698630718512844
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,0.95,down,0,0.0,,,,,,,
hist_gradient_boosting_static_full,hist_gradient_boosting,static_full,14,50,0.95,both,12,0.007751937984496124,1.0,7.698630718512844,8.360683441399619,7.698630718512844,8.360683441399619,1.0,7.698630718512844
xgboost_static_full,xgboost,static_full,14,50,0.5,up,803,0.5187338501291989,0.5840597758405978,0.554115708067044,0.7753396755050268,0.554115708067044,0.7753396755050268,0.5840597758405978,0.554115708067044
xgboost_static_full,xgboost,static_full,14,50,0.5,down,745,0.481266149870801,0.40939597315436244,0.5884082811017282,0.6460078732217767,-0.5884082811017282,-0.6460078732217767,0.40939597315436244,-0.5884082811017282
xgboost_static_full,xgboost,static_full,14,50,0.5,both,1548,1.0,0.5,0.5706195626606096,0.6864347917201474,0.0042575866647603005,-6.787557182974524e-06,0.5,0.0042575866647603005
xgboost_static_full,xgboost,static_full,14,50,0.55,up,571,0.36886304909560724,0.5866900175131349,0.7029841459934013,0.694499964062345,0.7029841459934013,0.694499964062345,0.5866900175131349,0.7029841459934013
xgboost_static_full,xgboost,static_full,14,50,0.55,down,509,0.32881136950904394,0.3791748526522593,0.7111325144013686,0.7597144443538539,-0.7111325144013686,-0.7597144443538539,0.3791748526522593,-0.7111325144013686
xgboost_static_full,xgboost,static_full,14,50,0.55,both,1080,0.6976744186046512,0.4888888888888889,0.7068244418449341,0.7597144443538539,0.036516201418458884,-0.1775976686269054,0.4888888888888889,0.036516201418458884
xgboost_static_full,xgboost,static_full,14,50,0.6,up,437,0.28229974160206717,0.6132723112128147,1.1245495372601981,1.1629155909020916,1.1245495372601981,1.1629155909020916,0.6132723112128147,1.1245495372601981
xgboost_static_full,xgboost,static_full,14,50,0.6,down,261,0.1686046511627907,0.48659003831417624,0.3912598802635785,0.1775976686269054,-0.3912598802635785,-0.1775976686269054,0.48659003831417624,-0.3912598802635785
xgboost_static_full,xgboost,static_full,14,50,0.6,both,698,0.4509043927648579,0.5659025787965616,0.8503538345723503,0.7675270599294404,0.5577497407362644,0.5654582423975096,0.5659025787965616,0.5577497407362644
xgboost_static_full,xgboost,static_full,14,50,0.65,up,338,0.21834625322997417,0.6745562130177515,1.6276071529541012,1.6233504603080373,1.6276071529541012,1.6233504603080373,0.6745562130177515,1.6276071529541012
xgboost_static_full,xgboost,static_full,14,50,0.65,down,112,0.07235142118863049,0.5982142857142857,0.17525694891305593,-0.2585522206821622,-0.17525694891305593,0.2585522206821622,0.5982142857142857,-0.17525694891305593
xgboost_static_full,xgboost,static_full,14,50,0.65,both,450,0.29069767441860467,0.6555555555555556,1.2661333243927746,1.1629155909020916,1.1788943098227198,1.1629155909020916,0.6555555555555556,1.1788943098227198
xgboost_static_full,xgboost,static_full,14,50,0.7,up,219,0.14147286821705427,0.817351598173516,2.6590974377523873,2.665169864197736,2.6590974377523873,2.665169864197736,0.817351598173516,2.6590974377523873
xgboost_static_full,xgboost,static_full,14,50,0.7,down,61,0.03940568475452196,0.5573770491803278,0.22008690291048863,-0.517147897025616,-0.22008690291048863,0.517147897025616,0.5573770491803278,-0.22008690291048863
xgboost_static_full,xgboost,static_full,14,50,0.7,both,280,0.18087855297157623,0.7607142857142857,2.1277415712332597,1.8737375491340025,2.0318465635365466,1.9838501693136834,0.7607142857142857,2.0318465635365466
