deadzone_type,horizon,dead_zone_ticks,dead_zone_bps_approx_at_row_price,total_rows,up_count,down_count,flat_count,unknown_count,nonflat_count,up_share_total,down_share_total,flat_share_total,unknown_share_total,nonflat_share_total,up_share_nonflat,mean_abs_return_bps_nonflat,median_abs_return_bps_nonflat
ticks,5,10.0,,69904,1784,1861,66139,120,3645,0.025520714122224765,0.026622224765392537,0.9461404211490043,0.0017166399633783474,0.052142938887617306,0.489437585733882,0.6885391099223147,0.5596270645247259
ticks,10,0.0,,69904,4475,4446,60743,240,8921,0.0640163653009842,0.06360151064316777,0.8689488441290913,0.003433279926756695,0.12761787594415197,0.5016253783208161,0.567594642353374,0.4475470823539496
ticks,10,0.5,,69904,4475,4444,60745,240,8919,0.0640163653009842,0.06357289997711146,0.8689774547951477,0.003433279926756695,0.12758926527809566,0.5017378629891244,0.5677201275972843,0.44759072304279
ticks,10,1.0,,69904,4188,4252,61224,240,8440,0.05991073472190433,0.06082627603570611,0.8758297093156329,0.003433279926756695,0.12073701075761044,0.4962085308056872,0.5990332900679588,0.47983915791416365
ticks,10,2.0,,69904,3998,4138,61528,240,8136,0.057192721446555274,0.05919546807049668,0.8801785305561913,0.003433279926756695,0.11638818951705196,0.4913962635201573,0.620446723258347,0.4959321656516913
ticks,10,5.0,,69904,3611,3755,62298,240,7366,0.0516565575646601,0.053716525520714126,0.8911936369878691,0.003433279926756695,0.10537308308537423,0.49022535976106435,0.6796834103464253,0.5438986172978666
ticks,10,10.0,,69904,3298,3370,62996,240,6668,0.04717898832684825,0.04820897230487526,0.9011787594415198,0.003433279926756695,0.0953879606317235,0.4946010797840432,0.7377059288362475,0.5918499068635619
ticks,20,0.0,,69904,7697,7694,54033,480,15391,0.11010814831769283,0.11006523231860837,0.7729600595101854,0.00686655985351339,0.2201733806363012,0.500097459554285,0.633650614021879,0.49625527371310874
ticks,20,0.5,,69904,7697,7692,54035,480,15389,0.11010814831769283,0.11003662165255207,0.7729886701762417,0.00686655985351339,0.2201447699702449,0.5001624537006953,0.6337319263120718,0.49625527371310874
ticks,20,1.0,,69904,7239,7383,54802,480,14622,0.10355630579079882,0.10561627374685283,0.783960860608835,0.00686655985351339,0.20917257953765164,0.49507591300779646,0.666135287425733,0.5280840709842582
ticks,20,2.0,,69904,6956,7203,55265,480,14159,0.09950789654383153,0.1030413138017853,0.7905842298008697,0.00686655985351339,0.20254921034561685,0.4912776326011724,0.6870807763925711,0.5438986172978666
ticks,20,5.0,,69904,6335,6631,56458,480,12966,0.09062428473334859,0.09485866330968185,0.8076504921034562,0.00686655985351339,0.18548294804303045,0.48858553138978866,0.745340187416134,0.5915906192910381
ticks,20,10.0,,69904,5846,6021,57557,480,11867,0.08362897688258182,0.08613241016250858,0.8233720531013962,0.00686655985351339,0.16976138704509042,0.49262661161203336,0.8028959858959321,0.6250996753487392
ticks,50,0.0,,69904,14531,14396,39777,1200,28927,0.20787079423208973,0.20593957427328907,0.5690232318608377,0.017166399633783476,0.4138103685053788,0.50233346008919,0.7696868294675868,0.6083304450976712
ticks,50,0.5,,69904,14531,14394,39779,1200,28925,0.20787079423208973,0.20591096360723277,0.569051842526894,0.017166399633783476,0.4137817578393225,0.5023681936041486,0.769739496270168,0.6083304450976712
ticks,50,1.0,,69904,13758,13893,41053,1200,27651,0.19681277180132753,0.19874399176012816,0.5872768368047608,0.017166399633783476,0.3955567635614557,0.4975588586307909,0.8044675582760459,0.6390914675702408
ticks,50,2.0,,69904,13242,13667,41795,1200,26909,0.18943121995880063,0.19551098649576562,0.5978913939116502,0.017166399633783476,0.3849422064545663,0.4921030138615333,0.8259166464556121,0.6398950572106266
ticks,50,5.0,,69904,12168,12796,43740,1200,24964,0.17406729228656442,0.18305104142824444,0.6257152666514076,0.017166399633783476,0.3571183337148089,0.48742188751802595,0.8860313609279725,0.687193509696371
ticks,50,10.0,,69904,11456,11786,45462,1200,23242,0.16388189517051957,0.16860265506981004,0.650349050125887,0.017166399633783476,0.3324845502403296,0.4929007830651407,0.9425541636829121,0.7047391303993678
ticks,100,0.0,,69904,21181,20571,25752,2400,41752,0.30300125886930646,0.2942750057221332,0.3683909361409934,0.03433279926756695,0.5972762645914397,0.5073050392795555,0.9372948164421764,0.688877906003249
ticks,100,0.5,,69904,21181,20570,25753,2400,41751,0.30300125886930646,0.29426070038910507,0.36840524147402154,0.03433279926756695,0.5972619592584115,0.5073171900074249,0.9373170745646642,0.688877906003249
ticks,100,1.0,,69904,20288,20219,26997,2400,40507,0.29022659647516597,0.2892395284962234,0.38620107576104373,0.03433279926756695,0.5794661249713894,0.5008517046436418,0.9656114196450984,0.7038868149988886
ticks,100,2.0,,69904,19503,20056,27945,2400,39559,0.2789969100480659,0.28690775921263445,0.3997625314717327,0.03433279926756695,0.5659046692607004,0.4930104401021259,0.9881366857747949,0.7186827981675581
ticks,100,5.0,,69904,18025,19085,30394,2400,37110,0.25785362783245597,0.273017280842298,0.4347962920576791,0.03433279926756695,0.530870908674754,0.4857181352735112,1.0497529759711364,0.7688789824533693
ticks,100,10.0,,69904,17215,17795,32494,2400,35010,0.2462663080796521,0.25456340123598076,0.4648374914168002,0.03433279926756695,0.5008297093156329,0.49171665238503287,1.1053473446435673,0.8317890582942855
