run_name,row_in_run,future_return_bps,move_probability,direction_probability_up,direction_confidence,signal_direction,signed_return_bps,net_return_bps_1bps_cost,specification,move_threshold,direction_threshold
20260717_193639,2168,-2.1329187571250685,0.6562581009685212,0.34047336038942894,0.659526639610571,-1,2.1329187571250685,1.1329187571250685,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_194153,2409,-4.396337755764312,0.8038134508075234,0.6625380413508306,0.6625380413508306,1,-4.396337755764312,-5.396337755764312,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_194153,2472,-1.787916689411917,0.6808142261146364,0.3391864904593575,0.6608135095406424,-1,1.787916689411917,0.787916689411917,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_194705,1566,-5.191282127982033,0.7859580843249281,0.3045232068083972,0.6954767931916028,-1,5.191282127982033,4.191282127982033,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_194705,1938,-1.9787012596417242,0.6705435414723355,0.337638616742282,0.662361383257718,-1,1.9787012596417242,0.9787012596417242,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_195219,189,-5.757357436203536,0.6683667290431333,0.32818384502992154,0.6718161549700785,-1,5.757357436203536,4.757357436203536,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_195732,1453,-1.0930078387672015,0.7152338791754286,0.6527864077650637,0.6527864077650637,1,-1.0930078387672015,-2.0930078387672015,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_195732,1554,-2.961707654113299,0.7189088794499602,0.3444902735840309,0.655509726415969,-1,2.961707654113299,1.9617076541132992,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_200247,18,1.9955511878677612,0.7214695816236385,0.6531984885688102,0.6531984885688102,1,1.9955511878677612,0.9955511878677612,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_200247,103,-0.7682547627829717,0.7342425384169802,0.23903634140819438,0.7609636585918056,-1,0.7682547627829717,-0.23174523721702833,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_200247,1872,-7.092249218781932,0.7510921295879257,0.3208304313856758,0.6791695686143242,-1,7.092249218781932,6.092249218781932,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_200247,1927,-3.4607431866617855,0.737985734807406,0.3344465588199175,0.6655534411800825,-1,3.4607431866617855,2.4607431866617855,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_200247,2194,-2.9238767109251995,0.6946863396817368,0.34921129552609786,0.6507887044739021,-1,2.9238767109251995,1.9238767109251995,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_200247,2249,-0.8264206687802478,0.8414713016596208,0.3486846804695306,0.6513153195304694,-1,0.8264206687802478,-0.17357933121975222,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_200247,2331,3.034966468387079,0.6675125515744703,0.6618679037188497,0.6618679037188497,1,3.034966468387079,2.034966468387079,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_200247,2469,-1.1119856966868014,0.6536707514933865,0.3286891597141528,0.6713108402858472,-1,1.1119856966868014,0.11198569668680136,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_200247,2603,6.133765345337494,0.6773714877398901,0.3484535088052573,0.6515464911947427,-1,-6.133765345337494,-7.133765345337494,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_200802,1800,1.398131429120042,0.6701204183984323,0.3367323320372262,0.6632676679627738,-1,-1.398131429120042,-2.398131429120042,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_201317,234,-4.041069356046645,0.6803162875920135,0.34107169117368735,0.6589283088263127,-1,4.041069356046645,3.041069356046645,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_201317,1036,0.0,0.6674430119034064,0.6593355468603527,0.6593355468603527,1,0.0,-1.0,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_201832,588,0.20641653745823163,0.6517847379676344,0.6819239210597006,0.6819239210597006,1,0.20641653745823163,-0.7935834625417684,sensitivity_medium_0p65_0p65,0.65,0.65
