candidate_id,move_feature_set,n_features,C,split,n_observations,positive_class_share,predicted_positive_share,balanced_accuracy,precision_positive,recall_positive,roc_auc,average_precision,brier_score
full_trade_flow_C_3,full_trade_flow,48,3.0,validation,103138,0.5058659272043282,0.3000058174484671,0.5571642308192103,0.6011246848943184,0.3564994058343236,0.5847469108164076,0.5788758157796017,0.2463394017062345
full_trade_flow_C_3,full_trade_flow,48,3.0,test,97306,0.4722627587199145,0.21285429469919634,0.5366468813584883,0.558082271147161,0.2515341428384907,0.5681422505363997,0.5354773687840669,0.2457860173611283
full_trade_flow_C_10,full_trade_flow,48,10.0,validation,103138,0.5058659272043282,0.3133180786906863,0.5594226052568593,0.6006807983908402,0.372043546594089,0.5860984000088671,0.578068763868732,0.24661568926359823
full_trade_flow_C_10,full_trade_flow,48,10.0,test,97306,0.4722627587199145,0.21651285635007092,0.5376339169455902,0.558904499715208,0.25623449536493015,0.5681901281416477,0.5345982083324639,0.24586261568311438
reduced_trade_flow_C_0p01,reduced_trade_flow,14,0.01,validation,103138,0.5058659272043282,0.2082549593748182,0.5482624892031793,0.621723543926626,0.2559512400812665,0.5906025911355579,0.5869503222966468,0.24646159750810095
reduced_trade_flow_C_0p01,reduced_trade_flow,14,0.01,test,97306,0.4722627587199145,0.18139683061681705,0.5349891851183871,0.5684097218287916,0.21832702267484877,0.5707783410624669,0.5370419284587444,0.2457771044674455
reduced_trade_flow_C_0p03,reduced_trade_flow,14,0.03,validation,103138,0.5058659272043282,0.20863309352517986,0.5481707786386611,0.6212938005390836,0.25623873960210064,0.5903881488962268,0.5867856830121129,0.24648978971950353
reduced_trade_flow_C_0p03,reduced_trade_flow,14,0.03,test,97306,0.4722627587199145,0.18226008673668634,0.5347073469969492,0.5671835353820129,0.21889280584932758,0.5705454344358379,0.5368838927448807,0.24578439635099886
reduced_trade_flow_C_0p1,reduced_trade_flow,14,0.1,validation,103138,0.5058659272043282,0.20896274893831565,0.5483608522793059,0.6215664439495174,0.2567562387396021,0.5903070806955217,0.5867222386236886,0.24650167409200394
reduced_trade_flow_C_0p1,reduced_trade_flow,14,0.1,test,97306,0.4722627587199145,0.18277392966517994,0.5348390259845384,0.5672757942086027,0.21954563258911086,0.5704491724091316,0.5368170787662335,0.2457881968170198
reduced_trade_flow_C_0p3,reduced_trade_flow,14,0.3,validation,103138,0.5058659272043282,0.20900153192809634,0.5484767622056841,0.6218222304694748,0.2569095718173803,0.5902824379331761,0.5867007001999501,0.24650530616107189
reduced_trade_flow_C_0p3,reduced_trade_flow,14,0.3,test,97306,0.4722627587199145,0.18273282223090045,0.5349192071905551,0.5675158877453461,0.21958915437176307,0.5704197147763124,0.5367955116682224,0.24578942566148615
reduced_trade_flow_C_1,reduced_trade_flow,14,1.0,validation,103138,0.5058659272043282,0.20903061917043184,0.5484667238293006,0.6217820863676423,0.25692873845210257,0.5902735281783844,0.586692863950703,0.2465066027988428
reduced_trade_flow_C_1,reduced_trade_flow,14,1.0,test,97306,0.4722627587199145,0.1827122685137607,0.5349180634640072,0.5675234827605602,0.21956739348043697,0.5704092025775445,0.5367889092676328,0.24578987174825376
reduced_trade_flow_C_3,reduced_trade_flow,14,3.0,validation,103138,0.5058659272043282,0.20902092342298667,0.5484571405119395,0.6217645421653215,0.2569095718173803,0.5902713649556601,0.586691025150297,0.2465069758800191
reduced_trade_flow_C_3,reduced_trade_flow,14,3.0,test,97306,0.4722627587199145,0.1827533759480402,0.5348997337523249,0.5674520609570939,0.21958915437176307,0.5704064744147006,0.5367870844476963,0.2457900005139283
reduced_trade_flow_C_10,reduced_trade_flow,14,10.0,validation,103138,0.5058659272043282,0.20902092342298667,0.5484571405119395,0.6217645421653215,0.2569095718173803,0.5902702750704976,0.58669014365421,0.24650710666884973
reduced_trade_flow_C_10,reduced_trade_flow,14,10.0,test,97306,0.4722627587199145,0.18276365280661008,0.5348899970332097,0.5674201529464687,0.21958915437176307,0.5704055925714453,0.5367865074926664,0.2457900458261831
