evaluation_method,feature_set,horizon,run_name,n,precision,mean_signed_return_bps,median_signed_return_bps,share_signed_return_ge_1_bps,up_count,down_count
raw_selected_signal,book_only,50,20260704_144124,34,0.9411764705882353,0.86886121166794,1.1054530074328106,0.6764705882352942,23,11
raw_selected_signal,book_only,50,20260704_144638,79,1.0,0.7645421045926537,0.7685490514419691,0.20253164556962025,69,10
raw_selected_signal,book_only,50,20260704_145150,66,0.8636363636363636,0.5907486355782192,0.96030652984469,0.015151515151515152,54,12
raw_selected_signal,book_only,50,20260704_145704,71,1.0,0.21687446743594668,0.1440489766524333,0.0,11,60
raw_selected_signal,combined,10,20260704_143609,360,0.9861111111111112,0.5075099932839598,0.4325609450339662,0.11666666666666667,114,246
raw_selected_signal,combined,10,20260704_144124,104,0.9134615384615384,0.5715984150860426,0.704677053713354,0.18269230769230768,65,39
raw_selected_signal,combined,10,20260704_144638,189,1.0,0.6000849223436143,0.592377700021629,0.06349206349206349,143,46
raw_selected_signal,combined,10,20260704_145150,213,0.9295774647887324,0.3172822849313473,0.2881740571314406,0.009389671361502348,146,67
raw_selected_signal,combined,10,20260704_145704,87,0.9885057471264368,0.23605531684148778,0.1440439045807817,0.0,23,64
raw_selected_signal,combined,20,20260704_143609,470,0.9680851063829787,0.6023678142897215,0.496649617700573,0.19361702127659575,128,342
raw_selected_signal,combined,20,20260704_144124,104,0.8461538461538461,0.6352428785202711,0.8810607971998508,0.27884615384615385,64,40
raw_selected_signal,combined,20,20260704_144638,261,0.9808429118773946,0.5992015242817611,0.592377700021629,0.10344827586206896,219,42
raw_selected_signal,combined,20,20260704_145150,256,0.92578125,0.31194749334922683,0.4001283611776429,0.0078125,197,59
raw_selected_signal,combined,20,20260704_145704,102,1.0,0.20683826320429924,0.1440439045807817,0.0,32,70
raw_selected_signal,combined,50,20260704_143609,281,0.9822064056939501,0.6317702323546186,0.5286915285207527,0.19217081850533807,56,225
raw_selected_signal,combined,50,20260704_144124,51,0.8823529411764706,0.8170133483646512,1.1054530074328106,0.5882352941176471,29,22
raw_selected_signal,combined,50,20260704_144638,70,1.0,0.642944775768555,0.7365238157364118,0.07142857142857142,58,12
raw_selected_signal,combined,50,20260704_145150,94,0.851063829787234,0.47183242022490984,0.37612867795078214,0.02127659574468085,77,17
raw_selected_signal,combined,50,20260704_145704,68,1.0,0.27116776700893364,0.1440489766524333,0.0,13,55
raw_selected_signal,trade_flow_only,10,20260704_143609,7,1.0,0.8972798800210846,0.8972798800210846,0.0,0,7
raw_selected_signal,trade_flow_only,10,20260704_144124,5,1.0,0.3043630442389755,0.3043630442389755,0.0,5,0
raw_selected_signal,trade_flow_only,10,20260704_144638,1,1.0,0.5123709565724166,0.5123709565724166,0.0,0,1
