move_feature_set,n_features,C,split,direction_confidence_threshold,tail_fraction,direction_confident_rows,tail_n_rows,tail_probability_min,tail_move_share,subset_move_share,move_share_lift,tail_mean_abs_future_return_bps,tail_median_abs_future_return_bps,tail_directional_precision,tail_mean_direction_signed_return_bps,tail_median_direction_signed_return_bps
reduced_trade_flow,14,0.03,validation,0.6,0.01,29796,298,0.6768631746762864,0.7416107382550335,0.5218821318297758,1.4210310969162043,2.9254307594674334,2.0977237964925344,0.6241610738255033,0.8139006563609571,0.9275298126104614
reduced_trade_flow,14,0.03,validation,0.65,0.1,5003,501,0.5371502986994052,0.6866267465069861,0.5274835098940636,1.301702771039959,2.454958785668772,1.753259561148024,0.5489021956087824,0.166191545693835,0.33848229374910943
reduced_trade_flow,14,0.03,validation,0.65,0.05,5003,251,0.5778336676101733,0.6972111553784861,0.5274835098940636,1.3217686284041554,2.49996173159801,1.7409176086569111,0.6055776892430279,0.5950006334346621,0.6468875410270414
reduced_trade_flow,14,0.03,validation,0.65,0.02,5003,101,0.6405762319212825,0.7722772277227723,0.5274835098940636,1.4640784275471883,3.1811996708666386,2.581434164152796,0.6435643564356436,0.7097792024196088,1.1316542279005137
reduced_trade_flow,14,0.03,validation,0.65,0.01,5003,51,0.7064693920536196,0.8627450980392157,0.5274835098940636,1.6355868607389907,3.6907505427705316,2.8137878840550634,0.6078431372549019,0.494640938451279,1.1316542279005137
reduced_trade_flow,14,0.03,validation,0.7,0.1,730,73,0.5178710742083025,0.547945205479452,0.43561643835616437,1.2578616352201257,1.9389645751507008,1.2027788226987024,0.4794520547945205,0.3215994944762746,0.0
reduced_trade_flow,14,0.03,validation,0.7,0.05,730,37,0.5492987959283308,0.6756756756756757,0.43561643835616437,1.5510793812680606,2.9895459988171478,2.6745487509449717,0.4864864864864865,0.11350865926365203,-0.008077009439055871
reduced_trade_flow,14,0.03,validation,0.7,0.02,730,15,0.6798258831264,0.7333333333333333,0.43561643835616437,1.6834381551362683,3.5437985106587058,2.581434164152796,0.4,-1.681165386702155,-0.16166907149450793
reduced_trade_flow,14,0.03,validation,0.7,0.01,730,8,0.7347428921518195,0.75,0.43561643835616437,1.7216981132075473,2.7498358038084705,2.2709638936413423,0.25,-1.356662103768752,-0.8407823742218046
reduced_trade_flow,14,0.03,validation,0.75,0.1,323,33,0.5159925067213215,0.30303030303030304,0.42724458204334365,0.7092665788317962,0.5789897237499937,0.0,0.42424242424242425,0.5789897237499937,0.0
reduced_trade_flow,14,0.03,validation,0.75,0.05,323,17,0.5218026355689669,0.4117647058823529,0.42724458204334365,0.9637681159420289,0.7793237771246213,0.4346261852616884,0.6470588235294118,0.7793237771246213,0.4346261852616884
reduced_trade_flow,14,0.03,validation,0.75,0.02,323,7,0.53106777131204,0.42857142857142855,0.42724458204334365,1.0031055900621118,1.0670836676784923,0.9980304994905431,1.0,1.0670836676784923,0.9980304994905431
reduced_trade_flow,14,0.03,validation,0.75,0.01,323,4,0.5416464398994335,0.25,0.42724458204334365,0.5851449275362319,0.788879588342617,0.4346261852616884,1.0,0.788879588342617,0.4346261852616884
reduced_trade_flow,14,0.03,test,0.6,0.1,27757,2776,0.5244548714384261,0.6127521613832853,0.49544259105811145,1.2367773228269232,1.8119608341686146,1.3402654842553652,0.5652017291066282,0.43118668419378253,0.38094603185045983
reduced_trade_flow,14,0.03,test,0.6,0.05,27757,1388,0.5495272805783574,0.638328530259366,0.49544259105811145,1.2884005973246961,2.125678719663669,1.4149547416614228,0.5468299711815562,0.46374962123703,0.3016212223283521
reduced_trade_flow,14,0.03,test,0.6,0.02,27757,556,0.5867748562968799,0.670863309352518,0.49544259105811145,1.3540687083840783,2.626464614751036,1.7885589228716636,0.5089928057553957,0.35988323017221063,0.03188786059538096
reduced_trade_flow,14,0.03,test,0.6,0.01,27757,278,0.6265882945886097,0.7338129496402878,0.49544259105811145,1.4811260938892865,3.230134763942333,2.2151729787145413,0.5287769784172662,0.24967644005526002,0.126787476805168
reduced_trade_flow,14,0.03,test,0.65,0.1,3484,349,0.5297254038511872,0.6275071633237822,0.5017221584385764,1.2507064971510624,2.0031076779217094,1.4348311642131684,0.6074498567335244,0.8871653333368219,0.6819935464374982
reduced_trade_flow,14,0.03,test,0.65,0.05,3484,175,0.5563573002709092,0.6742857142857143,0.5017221584385764,1.3439424648577967,2.3314503163094105,1.727897378747123,0.5657142857142857,0.9309192114356053,0.6052675800372054
reduced_trade_flow,14,0.03,test,0.65,0.02,3484,70,0.5993872602375296,0.7142857142857143,0.5017221584385764,1.4236678653154626,2.7199080694445703,1.847399409996564,0.6142857142857143,1.2930618531950306,0.7708290490837655
reduced_trade_flow,14,0.03,test,0.65,0.01,3484,35,0.6441547699862534,0.7428571428571429,0.5017221584385764,1.480614579928081,3.315190643204608,1.8070860061503158,0.7142857142857143,2.119114596919523,1.0833243720109742
reduced_trade_flow,14,0.03,test,0.7,0.1,55,6,0.6483806501971562,0.6666666666666666,0.6363636363636364,1.0476190476190477,3.978875350568179,2.3442247092975155,0.5,0.1567413912179072,-0.0375214754783082
