model_type,feature_set,feature,coefficient,absolute_coefficient
move,combined,trade_notional_rolling_sum_20e,-1.6872156198793689,1.6872156198793689
move,combined,trade_notional_rolling_sum_10e,-1.4798719454657854,1.4798719454657854
move,combined,trade_volume_rolling_sum_10e,1.4406887385253422,1.4406887385253422
move,combined,avg_trade_size,1.156540895014798,1.156540895014798
move,combined,avg_trade_notional,-1.1289496850040224,1.1289496850040224
move,combined,trade_volume_rolling_sum_5e,1.0275137511659118,1.0275137511659118
move,combined,trade_notional_rolling_sum_5e,-1.004043228862705,1.004043228862705
move,combined,signed_trade_notional_rolling_sum_20e,-0.7167311424837246,0.7167311424837246
move,combined,signed_trade_volume_rolling_sum_20e,0.6552339999503168,0.6552339999503168
move,combined,trade_intensity_rolling_mean_50e,0.31246361218063257,0.31246361218063257
move,combined,trade_notional,-0.23696953879608035,0.23696953879608035
move,combined,trade_volume,0.23469365200177067,0.23469365200177067
move,combined,imbalance_5,-0.23218907510372672,0.23218907510372672
move,combined,trade_count_rolling_sum_50e,0.23036781452159247,0.23036781452159247
move,combined,sell_trade_volume,0.22836737109371877,0.22836737109371877
move,combined,sell_trade_notional,-0.22647072796865328,0.22647072796865328
move,combined,trade_intensity_rolling_mean_20e,-0.22066230142980198,0.22066230142980198
move,combined,imbalance_10,0.20792677921098246,0.20792677921098246
move,combined,buy_trade_notional,-0.13351850570742313,0.13351850570742313
move,combined,buy_trade_volume,0.12861584313725194,0.12861584313725194
move,combined,trade_count_rolling_sum_20e,0.1082269179902068,0.1082269179902068
move,combined,trade_intensity_rolling_mean_10e,0.1080526401535731,0.1080526401535731
move,combined,signed_trade_notional_rolling_sum_5e,0.10029297030727001,0.10029297030727001
move,combined,signed_trade_volume_rolling_sum_5e,-0.09420337295455096,0.09420337295455096
move,combined,signed_trade_volume_rolling_sum_10e,0.08457504409474878,0.08457504409474878
move,combined,ask_depth_5,-0.08394379436567535,0.08394379436567535
move,combined,trade_count_rolling_sum_5e,-0.07673650419018208,0.07673650419018208
move,combined,trade_intensity_rolling_mean_5e,0.07647193663553527,0.07647193663553527
move,combined,ask_depth_10,0.07413076598259695,0.07413076598259695
move,combined,signed_trade_notional_rolling_sum_10e,-0.06690998961591169,0.06690998961591169
move,combined,trade_count_rolling_sum_10e,-0.049767490653046385,0.049767490653046385
move,combined,signed_trade_volume,-0.044182234290185696,0.044182234290185696
move,combined,bid_depth_10,0.04408582531573812,0.04408582531573812
move,combined,imbalance_1,-0.04138452042278842,0.04138452042278842
move,combined,trade_intensity_per_second,-0.04026924135577421,0.04026924135577421
move,combined,sell_trade_count,0.03946773507406849,0.03946773507406849
move,combined,signed_trade_notional,0.038237256661285884,0.038237256661285884
move,combined,trade_imbalance_rolling_50e,-0.03478939951409748,0.03478939951409748
move,combined,best_ask_qty,0.03332196495864818,0.03332196495864818
move,combined,spread_bps,0.031122900056327178,0.031122900056327178
move,combined,trade_count,0.028479647971571303,0.028479647971571303
move,combined,best_bid_qty,0.018214931016959847,0.018214931016959847
move,combined,microprice_deviation_bps,0.01702200786357737,0.01702200786357737
move,combined,notional_imbalance_rolling_50e,-0.016459221219670077,0.016459221219670077
move,combined,transaction_lag_ms,-0.014955631773811708,0.014955631773811708
move,combined,trade_imbalance_rolling_10e,0.013911254272616106,0.013911254272616106
move,combined,notional_imbalance_rolling_10e,0.00890758310004014,0.00890758310004014
move,combined,notional_imbalance_rolling_20e,0.007920524140835624,0.007920524140835624
move,combined,bid_depth_5,0.0073471576015659715,0.0073471576015659715
move,combined,trade_imbalance_rolling_5e,0.006736364752799368,0.006736364752799368
move,combined,trade_imbalance,0.006518241743383468,0.006518241743383468
move,combined,notional_imbalance,0.006479320679723711,0.006479320679723711
move,combined,quote_changed,0.006090316827470368,0.006090316827470368
move,combined,trade_imbalance_rolling_20e,0.0058821315224496795,0.0058821315224496795
move,combined,buy_trade_count,0.0039405861298395595,0.0039405861298395595
move,combined,notional_imbalance_rolling_5e,0.0032269488946609012,0.0032269488946609012
move,combined,event_gap_ms,0.0027277980022570444,0.0027277980022570444
move,trade_flow_only,signed_trade_volume_rolling_sum_50e,3.1243773804811665,3.1243773804811665
move,trade_flow_only,signed_trade_notional_rolling_sum_50e,-3.0129765541705895,3.0129765541705895
move,trade_flow_only,trade_notional_rolling_sum_50e,-2.7769107354888503,2.7769107354888503
move,trade_flow_only,trade_volume_rolling_sum_50e,2.488085079484137,2.488085079484137
move,trade_flow_only,trade_volume_rolling_sum_20e,1.7249220375660506,1.7249220375660506
move,trade_flow_only,trade_notional_rolling_sum_20e,-1.6585345671317786,1.6585345671317786
move,trade_flow_only,trade_notional_rolling_sum_10e,-1.4658211216997925,1.4658211216997925
move,trade_flow_only,trade_volume_rolling_sum_10e,1.4243292210469274,1.4243292210469274
move,trade_flow_only,avg_trade_size,1.1942079427570567,1.1942079427570567
move,trade_flow_only,avg_trade_notional,-1.1632671695080323,1.1632671695080323
move,trade_flow_only,trade_volume_rolling_sum_5e,1.0195505969194087,1.0195505969194087
move,trade_flow_only,trade_notional_rolling_sum_5e,-0.9983616275431683,0.9983616275431683
move,trade_flow_only,signed_trade_notional_rolling_sum_20e,-0.7744172951584745,0.7744172951584745
move,trade_flow_only,signed_trade_volume_rolling_sum_20e,0.7118902800660547,0.7118902800660547
move,trade_flow_only,trade_intensity_rolling_mean_50e,0.315016918610553,0.315016918610553
move,trade_flow_only,trade_notional,-0.3148553608329253,0.3148553608329253
move,trade_flow_only,trade_volume,0.30882307829275657,0.30882307829275657
move,trade_flow_only,sell_trade_notional,-0.2810048357835866,0.2810048357835866
move,trade_flow_only,sell_trade_volume,0.28014463405041623,0.28014463405041623
move,trade_flow_only,trade_count_rolling_sum_50e,0.22823631795257954,0.22823631795257954
move,trade_flow_only,trade_intensity_rolling_mean_20e,-0.21973382186208276,0.21973382186208276
move,trade_flow_only,buy_trade_notional,-0.19327083889043462,0.19327083889043462
move,trade_flow_only,buy_trade_volume,0.18556086597767654,0.18556086597767654
move,trade_flow_only,signed_trade_volume_rolling_sum_10e,0.10803175281554474,0.10803175281554474
move,trade_flow_only,trade_count_rolling_sum_20e,0.10628752801135515,0.10628752801135515
move,trade_flow_only,signed_trade_notional_rolling_sum_5e,0.10523910463539832,0.10523910463539832
move,trade_flow_only,trade_intensity_rolling_mean_10e,0.10373344323220221,0.10373344323220221
move,trade_flow_only,signed_trade_volume_rolling_sum_5e,-0.09856457056465741,0.09856457056465741
move,trade_flow_only,signed_trade_notional_rolling_sum_10e,-0.09001445561997164,0.09001445561997164
move,trade_flow_only,trade_intensity_rolling_mean_5e,0.0873994947301267,0.0873994947301267
move,trade_flow_only,trade_count_rolling_sum_5e,-0.08205351219055418,0.08205351219055418
move,trade_flow_only,sell_trade_count,0.04362590153100685,0.04362590153100685
move,trade_flow_only,trade_count_rolling_sum_10e,-0.04287936631099157,0.04287936631099157
move,trade_flow_only,trade_imbalance_rolling_50e,-0.03522123688734893,0.03522123688734893
move,trade_flow_only,trade_count,0.03233681720475998,0.03233681720475998
move,trade_flow_only,signed_trade_volume,-0.03167602847002247,0.03167602847002247
move,trade_flow_only,signed_trade_notional,0.025018047861940933,0.025018047861940933
move,trade_flow_only,trade_intensity_per_second,-0.02500880399881479,0.02500880399881479
move,trade_flow_only,notional_imbalance_rolling_50e,-0.017122237116039562,0.017122237116039562
move,trade_flow_only,trade_imbalance_rolling_10e,0.0128103478092082,0.0128103478092082
move,trade_flow_only,notional_imbalance_rolling_10e,0.008209922550309189,0.008209922550309189
move,trade_flow_only,notional_imbalance_rolling_20e,0.00731758984212276,0.00731758984212276
move,trade_flow_only,notional_imbalance,0.005918452234402572,0.005918452234402572
move,trade_flow_only,trade_imbalance,0.005872180050606767,0.005872180050606767
move,trade_flow_only,buy_trade_count,0.005541462102223509,0.005541462102223509
move,trade_flow_only,trade_imbalance_rolling_20e,0.005404972440898073,0.005404972440898073
move,trade_flow_only,trade_imbalance_rolling_5e,0.005218063486507617,0.005218063486507617
move,trade_flow_only,notional_imbalance_rolling_5e,0.001969379290827035,0.001969379290827035
