move_feature_set,move_threshold,direction_threshold,n_folds,supported_folds,positive_mean_net_folds,total_signals,minimum_fold_signals,total_signal_runs,minimum_fold_signal_runs,mean_fold_mean_net_bps,median_fold_mean_net_bps,minimum_fold_mean_net_bps,maximum_fold_mean_net_bps,std_fold_mean_net_bps,median_fold_median_net_bps,median_fold_trimmed_mean_net_bps,mean_directional_precision,base_eligible,eligible_neighbor_count,neighbor_positive_share,neighbor_median_net_bps,neighbor_minimum_net_bps,plateau_eligible
reduced_trade_flow,0.65,0.6,3,3,0,81,15,28,6,-0.46865128668211203,-0.6101219590371271,-0.6911753605143885,-0.1046565404948206,0.3178231346389397,-0.4671373082189003,-0.6710219308114167,0.6161616161616161,False,0,,,,False
reduced_trade_flow,0.65,0.65,3,3,0,40,7,18,3,-1.0689248432492684,-1.2366127964175617,-1.65507196901777,-0.3150897643124735,0.6855490605784866,-1.1015732921616497,-1.2366127964175617,0.49933862433862436,False,0,,,,False
reduced_trade_flow,0.65,0.7,3,1,0,8,0,7,0,-2.660501730786218,-2.660501730786218,-2.660501730786218,-2.660501730786218,,-1.1898914763109882,-2.660501730786218,0.5,False,0,,,,False
reduced_trade_flow,0.7,0.55,3,3,1,62,11,25,6,-1.2248339049975048,-1.7787268065119102,-1.9799968033512223,0.08422189487061837,1.1381334360623991,-1.7769058268736195,-1.9753648458985273,0.41970693779904306,False,1,1.0,0.16540176499695886,0.16540176499695886,False
reduced_trade_flow,0.7,0.6,3,3,0,45,6,19,3,-1.30924211780662,-1.6182340974909366,-2.2396714616169646,-0.06982079431195914,1.117439041842068,-1.7867746759104843,-1.8248962239126858,0.4753086419753086,False,1,1.0,0.16540176499695886,0.16540176499695886,False
reduced_trade_flow,0.7,0.65,3,2,1,29,4,17,2,-1.0096923504613,-0.8486355807914006,-2.2175648174375664,0.03712334684506673,1.1359397615329012,-1.3798962095391545,-0.8486355807914006,0.4049707602339181,False,0,,,,False
reduced_trade_flow,0.7,0.7,3,1,0,7,0,6,0,-1.9625324500390458,-1.9625324500390458,-1.9625324500390458,-1.9625324500390458,,-1.0080770094390559,-1.9625324500390458,0.42857142857142855,False,0,,,,False
reduced_trade_flow,0.75,0.55,3,3,2,36,6,21,5,-0.651989067746909,0.16540176499695886,-2.3960571404366315,0.2746881721989456,1.5113953689658812,0.01674939789964114,0.03818064681265865,0.5648148148148148,True,1,1.0,0.16540176499695886,0.16540176499695886,False
reduced_trade_flow,0.75,0.6,3,2,2,24,4,13,3,-0.13528688954516932,0.6898658176120676,-3.0996811791029746,2.003954692855399,2.649987268079182,1.0989289811224054,0.600174018910378,0.6254578754578755,False,1,1.0,0.16540176499695886,0.16540176499695886,False
reduced_trade_flow,0.75,0.65,3,1,2,12,2,8,1,-0.7581795969330152,1.5448642397033854,-6.050160146299887,2.2307571157974553,4.595803070250848,-0.4705150875939914,1.5448642397033854,0.5079365079365079,False,0,,,,False
reduced_trade_flow,0.75,0.7,3,0,0,2,0,2,0,-0.023791693154583626,-0.023791693154583626,-0.023791693154583626,-0.023791693154583626,,-0.023791693154583626,-0.023791693154583626,0.5,False,0,,,,False
