model_name,feature_set,horizon_events,feature,coefficient,absolute_coefficient
logit_combined,combined,50,signed_trade_notional,0.09858742963685632,0.09858742963685632
logit_combined,combined,50,signed_trade_notional_rolling_sum_20e,-0.0967857102310031,0.0967857102310031
logit_combined,combined,50,trade_volume_rolling_sum_5e,0.09381424766510088,0.09381424766510088
logit_combined,combined,50,signed_trade_volume,-0.089980567361632,0.089980567361632
logit_combined,combined,50,trade_notional_rolling_sum_5e,-0.08193918271637167,0.08193918271637167
logit_combined,combined,50,ask_depth_10,0.07381983523792723,0.07381983523792723
logit_combined,combined,50,buy_trade_notional,-0.06594825042635213,0.06594825042635213
logit_combined,combined,50,buy_trade_volume,0.06542945028250903,0.06542945028250903
logit_combined,combined,50,trade_count,0.05853092805715923,0.05853092805715923
logit_combined,combined,50,trade_intensity_rolling_mean_10e,0.053687964455194,0.053687964455194
logit_combined,combined,50,sell_trade_count,0.05227235861727049,0.05227235861727049
logit_combined,combined,50,signed_trade_notional_rolling_sum_10e,0.047117745149733166,0.047117745149733166
logit_combined,combined,50,trade_intensity_rolling_mean_50e,0.0396826160768845,0.0396826160768845
logit_combined,combined,50,signed_trade_volume_rolling_sum_10e,-0.03944113843926298,0.03944113843926298
logit_combined,combined,50,buy_trade_count,0.03337536251992939,0.03337536251992939
logit_combined,combined,50,trade_count_rolling_sum_10e,-0.030476777742172983,0.030476777742172983
logit_combined,combined,50,signed_trade_volume_rolling_sum_5e,0.02885102589494507,0.02885102589494507
logit_combined,combined,50,signed_trade_notional_rolling_sum_5e,-0.016444352457545167,0.016444352457545167
logit_combined,combined,50,trade_imbalance_rolling_50e,0.015399373221586162,0.015399373221586162
logit_combined,combined,50,quote_changed,-0.015348440996676446,0.015348440996676446
logit_combined,combined,50,trade_imbalance_rolling_20e,0.01476631729368951,0.01476631729368951
logit_combined,combined,50,notional_imbalance_rolling_50e,-0.013925739423254792,0.013925739423254792
logit_combined,combined,50,notional_imbalance_rolling_5e,-0.01130795064776905,0.01130795064776905
logit_combined,combined,50,trade_imbalance_rolling_5e,-0.010949952787226946,0.010949952787226946
logit_combined,combined,50,best_bid_qty,-0.01046807254875182,0.01046807254875182
logit_combined,combined,50,notional_imbalance_rolling_20e,0.010122851063020997,0.010122851063020997
logit_combined,combined,50,transaction_lag_ms,0.00529505668563233,0.00529505668563233
logit_combined,combined,50,notional_imbalance_rolling_10e,-0.004445549709889059,0.004445549709889059
logit_combined,combined,50,notional_imbalance,0.003788961921281024,0.003788961921281024
logit_combined,combined,50,trade_imbalance_rolling_10e,-0.0036605155412252673,0.0036605155412252673
logit_combined,combined,50,trade_imbalance,0.0035692793965422867,0.0035692793965422867
logit_combined,combined,50,event_gap_ms,-0.0012696085021157272,0.0012696085021157272
logit_combined,combined,50,spread_bps,0.0008581597090883658,0.0008581597090883658
logit_combined,combined,50,microprice_deviation_bps,0.0006480408789569307,0.0006480408789569307
logit_combined,combined,100,trade_volume_rolling_sum_50e,1.498689862829849,1.498689862829849
logit_combined,combined,100,trade_notional_rolling_sum_50e,-1.4717550355261337,1.4717550355261337
logit_combined,combined,100,trade_volume_rolling_sum_20e,1.2313505381619083,1.2313505381619083
