run_name,horizon,n,mean_bps,std_bps,median_bps,mean_abs_bps,median_abs_bps,share_positive,share_abs_ge_1_bps,share_abs_ge_2_bps
20260704_142028,1,2912,-0.002534582236658237,0.07785685585392522,0.0,0.008232202390276734,0.0,0.008585164835164836,0.0010302197802197802,0.0
20260704_142541,1,2911,0.001122480076609854,0.05210419188861821,0.0,0.004324206965441287,0.0,0.005152868430092752,0.0006870491240123669,0.0
20260704_143056,1,2911,-0.0006984385835488588,0.06822746117185571,0.0,0.007367112194221262,0.0,0.006870491240123669,0.00034352456200618345,0.0
20260704_143609,1,2912,-0.001517844659733436,0.08654814675244708,0.0,0.011224784837959658,0.0,0.012362637362637362,0.0010302197802197802,0.0
20260704_144124,1,2912,0.0013974301059535748,0.06348674037098913,0.0,0.0061610486481038845,0.0,0.006868131868131868,0.0006868131868131869,0.0
20260704_144638,1,2912,0.0010614388296451675,0.06606374035190679,0.0,0.0070647506099604076,0.0,0.009615384615384616,0.00034340659340659343,0.0
20260704_145150,1,2912,0.0012974033571653545,0.06172327121782524,0.0,0.005584928925206162,0.0,0.009271978021978022,0.0006868131868131869,0.0
20260704_145704,1,2912,-0.0007805336039806557,0.021900856345881063,0.0,0.0012972734890851604,0.0,0.0013736263736263737,0.0,0.0
20260704_125643,5,2907,-0.005883888507699586,0.17354868419187428,0.0,0.03154403157827074,0.0,0.0196078431372549,0.01238390092879257,0.0
20260704_130157,5,2908,-0.004646908297148808,0.12067579614976012,0.0,0.01790508510106315,0.0,0.011691884456671253,0.005502063273727648,0.0
20260704_130711,5,2907,-0.00685059121181044,0.13820212248673933,0.0,0.019344653507100736,0.0,0.018575851393188854,0.004471964224286206,0.0
20260704_131225,5,2907,-0.0019528511514233708,0.16185526115950444,0.0,0.02809579959054157,0.0,0.02063983488132095,0.008943928448572412,0.0003439972480220158
20260704_131740,5,2908,0.012596206141972566,0.12931401953923571,0.0,0.022877014913105762,0.0,0.05364511691884457,0.003782668500687758,0.0
20260704_132254,5,2908,0.0006055930615464557,0.12490159087370233,0.0,0.020678849181657456,0.0,0.04745529573590096,0.004470426409903714,0.0
20260704_132808,5,2908,0.0008530039333320665,0.1268638687476483,0.0,0.021199443899770697,0.0,0.029573590096286108,0.0017193947730398899,0.001375515818431912
20260704_133321,5,2907,0.014899776848923673,0.20264090175412833,0.0,0.05193793452430541,0.0,0.09253525971792226,0.011351909184726523,0.0
20260704_133834,5,2908,-0.007209624113742118,0.5819584017527403,0.0,0.12019951400798677,0.0,0.05089408528198074,0.0343878954607978,0.0068775790921595595
20260704_134349,5,2907,0.017393827132020208,0.17989655846657074,0.0,0.030530834404643614,0.0,0.03715170278637771,0.005159958720330237,0.0013759889920880633
20260704_134903,5,2907,0.0038187061380435235,0.11370069422030758,0.0,0.02240977056983811,0.0,0.037495700034399726,0.0,0.0
20260704_135418,5,2908,-0.020660329897251757,0.21449908075868898,0.0,0.045584477162310746,0.0,0.021664374140302613,0.0068775790921595595,0.003094910591471802
20260704_135929,5,2908,-0.01696314059916793,0.30909182386368333,0.0,0.0863439282348808,0.0,0.06052269601100413,0.01891334250343879,0.003782668500687758
20260704_140444,5,2908,0.008345155918075872,0.2757630423205718,0.0,0.06800973095395785,0.0,0.06499312242090784,0.01891334250343879,0.0034387895460797797
20260704_141000,5,2908,0.0024124424235377486,0.17888572787375623,0.0,0.03588444235027067,0.0,0.033012379642365884,0.012723521320495186,0.0
