model,horizon,threshold,signal_group,n_signals,coverage,precision,mean_future_return_bps,median_future_return_bps,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,break_even_round_trip_cost_bps
logit_signal_static,20,0.7,both,501,0.33579088471849866,0.6686626746506986,0.15392848963569958,0.17764527951991127,0.6254027688171265,0.7106385006183658,0.6686626746506986,0.6254027688171265
logit_full_static,5,0.8,both,423,0.4941588785046729,0.8699763593380615,0.0006151571028532998,-0.016149831678635707,0.6168985121134746,0.5976982157096522,0.8699763593380615,0.6168985121134746
logit_full_static,5,0.85,both,278,0.3247663551401869,0.8812949640287769,0.008976231743563469,-0.016149831678635707,0.6147424463537532,0.5976982157096522,0.8812949640287769,0.6147424463537532
logit_signal_static,20,0.75,both,225,0.15080428954423591,0.6577777777777778,0.08997884211252581,-0.1454532525368979,0.6112201879361814,0.8728958562509437,0.6577777777777778,0.6112201879361814
logit_signal_static,10,0.75,both,505,0.42048293089092426,0.7603960396039604,-0.022356147444309842,0.03227917613868314,0.5999842894840731,0.7432847855270985,0.7603960396039604,0.5999842894840731
logit_full_static,10,0.75,both,533,0.44416666666666665,0.7598499061913696,0.07646560418744859,0.06463387736133086,0.5790268298496171,0.7432523592210138,0.7598499061913696,0.5790268298496171
logit_dynamic_full,5,0.8,both,448,0.5346062052505967,0.84375,0.045254202898708774,0.08872230292222838,0.5672372245437642,0.5810626829449994,0.84375,0.5672372245437642
logit_dynamic_compact,20,0.7,both,623,0.4270047978067169,0.6677367576243981,0.15218538623760372,0.17764527951991127,0.5653484389496951,0.7434385487425921,0.6677367576243981,0.5653484389496951
logit_dynamic_full,10,0.8,both,408,0.34812286689419797,0.7549019607843137,0.18231711891174635,0.35545358705091346,0.5626384357263606,0.7344223929006688,0.7549019607843137,0.5626384357263606
logit_dynamic_full,50,0.6,both,591,0.3893280632411067,0.5905245346869712,0.5750657064424795,0.6536939356571736,0.5599491680129806,0.5166744571472037,0.5905245346869712,0.5599491680129806
logit_dynamic_compact,10,0.8,both,388,0.3310580204778157,0.7525773195876289,0.1944278752399886,0.3554492798629738,0.5590738439087216,0.7106821202196301,0.7525773195876289,0.5590738439087216
logit_full_static,20,0.7,both,527,0.3539288112827401,0.6489563567362429,0.34395354202262873,0.5324482859614399,0.5468315645245022,0.6948433734166315,0.6489563567362429,0.5468315645245022
logit_dynamic_compact,50,0.6,both,581,0.38274044795783924,0.6041308089500861,0.23509772636646534,0.096791444281763,0.5375280916254997,0.7108623810825332,0.6041308089500861,0.5375280916254997
logit_full_static,10,0.85,both,65,0.05416666666666667,0.7076923076923077,-0.08793863503342436,-0.17770382426673947,0.5205677319302446,0.8400218728765729,0.7076923076923077,0.5205677319302446
logit_dynamic_compact,5,0.8,both,404,0.4821002386634845,0.849009900990099,0.02255225925065197,-0.016149831678635707,0.5176808393274074,0.5654587122239096,0.849009900990099,0.5176808393274074
logit_signal_static,5,0.75,both,506,0.5904317386231038,0.8320158102766798,0.011359534257728296,-0.016149831678635707,0.5056513299624554,0.549317836572305,0.8320158102766798,0.5056513299624554
logit_dynamic_full,20,0.7,both,638,0.43728581220013707,0.6598746081504702,0.2175823550585174,0.3474261756153396,0.5051437069695044,0.7349448378274337,0.6598746081504702,0.5051437069695044
logit_full_static,5,0.75,both,536,0.6261682242990654,0.8171641791044776,0.043247126559156183,0.03226849973225754,0.4966384700243912,0.5493018615676526,0.8171641791044776,0.4966384700243912
logit_dynamic_full,5,0.75,both,541,0.6455847255369929,0.8077634011090573,0.08638271685523555,0.096791444281763,0.492029381435615,0.5493338115769575,0.8077634011090573,0.492029381435615
logit_full_static,20,0.8,both,55,0.036937541974479515,0.6,-0.03250477385212265,-0.30710917327092524,0.490948780118693,0.8728958562509437,0.6,0.490948780118693
logit_dynamic_compact,5,0.75,both,510,0.6085918854415274,0.8098039215686275,0.0664558557251782,0.07261148863624278,0.473372274967119,0.549317836572305,0.8098039215686275,0.473372274967119
