run_name,row_in_run,future_return_bps,signal_direction,fold,model,signed_return_bps,net_return_bps,direction_correct,net_profitable
20260708_185955,1658,-3.1496342790038323,1,fold_1_tue_to_wed,direct_multiclass_base,-3.1496342790038323,-4.149634279003832,False,False
20260708_185955,1709,3.0375271943516857,1,fold_1_tue_to_wed,direct_multiclass_base,3.0375271943516857,2.0375271943516857,True,True
20260708_185955,1760,1.130650729874727,-1,fold_1_tue_to_wed,direct_multiclass_base,-1.130650729874727,-2.130650729874727,False,False
20260708_185955,1811,-0.6137124353489121,-1,fold_1_tue_to_wed,direct_multiclass_base,0.6137124353489121,-0.38628756465108793,True,False
20260708_185955,1862,-0.20996714014231976,1,fold_1_tue_to_wed,direct_multiclass_base,-0.20996714014231976,-1.2099671401423198,False,False
20260708_185955,1918,5.314290190934212,-1,fold_1_tue_to_wed,direct_multiclass_base,-5.314290190934212,-6.314290190934212,False,False
20260708_185955,1969,1.2753979766388923,1,fold_1_tue_to_wed,direct_multiclass_base,1.2753979766388923,0.2753979766388923,True,True
20260708_185955,2020,4.3745414600793175,1,fold_1_tue_to_wed,direct_multiclass_base,4.3745414600793175,3.3745414600793175,True,True
20260708_185955,2071,-3.5174651016633973,-1,fold_1_tue_to_wed,direct_multiclass_base,3.5174651016633973,2.5174651016633973,True,True
20260708_185955,2122,1.565567837105153,1,fold_1_tue_to_wed,direct_multiclass_base,1.565567837105153,0.5655678371051529,True,True
20260708_185955,2173,0.5486698387313638,1,fold_1_tue_to_wed,direct_multiclass_base,0.5486698387313638,-0.45133016126863623,True,False
20260708_185955,2228,1.3071399696773511,-1,fold_1_tue_to_wed,direct_multiclass_base,-1.3071399696773511,-2.307139969677351,False,False
20260708_185955,2279,-4.646806409689397,1,fold_1_tue_to_wed,direct_multiclass_base,-4.646806409689397,-5.646806409689397,False,False
20260708_185955,2330,2.485905801927757,1,fold_1_tue_to_wed,direct_multiclass_base,2.485905801927757,1.485905801927757,True,True
20260708_185955,2381,0.40345584135570434,1,fold_1_tue_to_wed,direct_multiclass_base,0.40345584135570434,-0.5965441586442957,True,False
20260708_185955,2432,1.7428589179901977,-1,fold_1_tue_to_wed,direct_multiclass_base,-1.7428589179901977,-2.7428589179901977,False,False
20260708_185955,2483,-1.4682641165120192,1,fold_1_tue_to_wed,direct_multiclass_base,-1.4682641165120192,-2.468264116512019,False,False
20260708_185955,2534,-1.7912601030711794,-1,fold_1_tue_to_wed,direct_multiclass_base,1.7912601030711794,0.7912601030711794,True,True
20260708_185955,2637,1.0007368328457389,1,fold_1_tue_to_wed,direct_multiclass_base,1.0007368328457389,0.0007368328457388884,True,True
20260708_185955,2688,0.7907211296021011,1,fold_1_tue_to_wed,direct_multiclass_base,0.7907211296021011,-0.20927887039789894,True,False
