label_spec,deadzone_type,deadzone_value,run_name,horizon,total_rows,up_count,down_count,flat_count,unknown_count,nonflat_count,up_share_total,down_share_total,flat_share_total,nonflat_share_total,up_share_nonflat
cost_aware_bps_deadzone_2_0,bps,2.0,20260704_142541,10,2912,9,0,2893,10,9,0.0030906593406593405,0.0,0.9934752747252747,0.0030906593406593405,1.0
cost_aware_bps_deadzone_2_0,bps,2.0,20260704_143056,10,2912,0,0,2902,10,0,0.0,0.0,0.9965659340659341,0.0,
cost_aware_bps_deadzone_2_0,bps,2.0,20260704_143609,10,2913,0,0,2903,10,0,0.0,0.0,0.9965671129419842,0.0,
cost_aware_bps_deadzone_2_0,bps,2.0,20260704_144124,10,2913,4,0,2899,10,4,0.0013731548232063166,0.0,0.9951939581187779,0.0013731548232063166,1.0
cost_aware_bps_deadzone_2_0,bps,2.0,20260704_144638,10,2913,0,0,2903,10,0,0.0,0.0,0.9965671129419842,0.0,
cost_aware_bps_deadzone_2_0,bps,2.0,20260704_145150,10,2913,9,0,2894,10,9,0.003089598352214212,0.0,0.99347751458977,0.003089598352214212,1.0
cost_aware_bps_deadzone_2_0,bps,2.0,20260704_145704,10,2913,0,0,2903,10,0,0.0,0.0,0.9965671129419842,0.0,
current_tick_deadzone_0_5,ticks,0.5,20260704_125643,20,2912,172,324,2396,20,496,0.059065934065934064,0.11126373626373626,0.8228021978021978,0.17032967032967034,0.3467741935483871
current_tick_deadzone_0_5,ticks,0.5,20260704_130157,20,2913,109,212,2572,20,321,0.03741846893237213,0.07277720562993477,0.8829385513216615,0.1101956745623069,0.3395638629283489
current_tick_deadzone_0_5,ticks,0.5,20260704_130711,20,2912,166,207,2519,20,373,0.057005494505494504,0.07108516483516483,0.8650412087912088,0.12809065934065933,0.4450402144772118
current_tick_deadzone_0_5,ticks,0.5,20260704_131225,20,2912,210,263,2419,20,473,0.07211538461538461,0.09031593406593406,0.8307005494505495,0.1624313186813187,0.4439746300211416
current_tick_deadzone_0_5,ticks,0.5,20260704_131740,20,2913,441,107,2345,20,548,0.1513903192584964,0.036731891520768965,0.8050120151047031,0.18812221077926536,0.8047445255474452
current_tick_deadzone_0_5,ticks,0.5,20260704_132254,20,2913,451,129,2313,20,580,0.1548232063165122,0.044284243048403706,0.7940267765190525,0.1991074493649159,0.7775862068965518
current_tick_deadzone_0_5,ticks,0.5,20260704_132808,20,2913,295,193,2405,20,488,0.10127016821146584,0.06625472021970477,0.8256093374527979,0.1675248884311706,0.6045081967213115
current_tick_deadzone_0_5,ticks,0.5,20260704_133321,20,2912,739,254,1899,20,993,0.2537774725274725,0.08722527472527472,0.6521291208791209,0.34100274725274726,0.7442094662638469
current_tick_deadzone_0_5,ticks,0.5,20260704_133834,20,2913,414,592,1887,20,1006,0.14212152420185376,0.20322691383453484,0.6477857878475798,0.3453484380363886,0.4115308151093439
current_tick_deadzone_0_5,ticks,0.5,20260704_134349,20,2912,336,216,2340,20,552,0.11538461538461539,0.07417582417582418,0.8035714285714286,0.18956043956043955,0.6086956521739131
current_tick_deadzone_0_5,ticks,0.5,20260704_134903,20,2912,327,245,2320,20,572,0.11229395604395605,0.08413461538461539,0.7967032967032966,0.19642857142857142,0.5716783216783217
