run_name,rows,rows_with_trades,share_rows_with_trades,total_trades_assigned,total_buy_trades,total_sell_trades,total_trade_volume,total_buy_trade_volume,total_sell_trade_volume,total_signed_trade_volume,mean_trade_imbalance,mean_trade_imbalance_rolling_20e,collection_batch,regime
20260707_202905,2911,1681,0.5774647887323944,9692.0,4778.0,4914.0,553.591,248.189,305.402,-57.213,-0.0664903739719332,-0.1512235159302346,weekday_active_tue_day28,Tuesday Day 28
20260707_203420,2912,1994,0.6847527472527473,17831.0,9143.0,8688.0,2265.372,1185.314,1080.058,105.25600000000004,-0.1033303106358685,-0.0997426445355321,weekday_active_tue_day28,Tuesday Day 28
20260707_203934,2912,1755,0.6026785714285714,11670.0,5436.0,6234.0,1654.774,812.3720000000001,842.402,-30.02999999999997,-0.1565672954309394,-0.2265470203107942,weekday_active_tue_day28,Tuesday Day 28
20260707_204449,2913,2272,0.7799519395811878,22442.0,12499.0,9943.0,3085.647,1859.448,1226.199,633.2489999999999,-0.0945777748989061,-0.1056431439399148,weekday_active_tue_day28,Tuesday Day 28
20260707_205005,2907,1879,0.6463708290333677,9104.0,4170.0,4934.0,895.543,448.866,446.677,2.188999999999986,-0.122611786018704,-0.0669837085168444,weekday_active_tue_day28,Tuesday Day 28
20260707_205520,2911,1670,0.5736860185503263,6923.0,3498.0,3425.0,710.3439999999999,343.08399999999995,367.26,-24.175999999999984,-0.1022346724222967,-0.1779501652152632,weekday_active_tue_day28,Tuesday Day 28
20260707_210036,2911,1690,0.58055650979045,8237.0,3849.0,4388.0,750.7669999999998,324.67299999999994,426.094,-101.421,-0.1283595764229024,-0.2016705306601245,weekday_active_tue_day28,Tuesday Day 28
20260707_210550,2909,1700,0.5843932622894465,7629.0,3268.0,4361.0,701.2669999999999,280.202,421.06500000000005,-140.863,-0.171637200151685,-0.2963631527783085,weekday_active_tue_day28,Tuesday Day 28
20260707_211103,2912,1569,0.538804945054945,7532.0,3799.0,3733.0,862.595,430.109,432.486,-2.377000000000024,-0.1805216396200215,-0.2474253437187864,weekday_active_tue_day28,Tuesday Day 28
20260707_211616,2907,1671,0.5748194014447885,12068.0,6159.0,5909.0,1216.391,705.8519999999999,510.539,195.313,-0.1185926976696449,-0.0843107772403721,weekday_active_tue_day28,Tuesday Day 28
