evaluation_method,model,run_name,n_signals_or_trades,precision,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,up_count,down_count,total_signed_return_bps
raw_selected_signal,lightgbm_dynamic_compact,20260701_194906,1592,0.5967336683417085,0.4296177877656459,0.45243295823338414,0.5967336683417085,1592,0,683.9515181229083
raw_selected_signal,lightgbm_dynamic_compact,20260701_195416,1286,0.4129082426127527,-0.4412944301833505,-0.21829185131438944,0.4129082426127527,1286,0,-567.5046372157888
raw_selected_signal,lightgbm_dynamic_compact,20260701_195929,1539,0.6016894087069525,0.7700384965259548,0.5712792707113223,0.6016894087069525,1539,0,1185.0892461534445
raw_selected_signal,lightgbm_dynamic_compact,20260701_200443,1606,0.5821917808219178,0.5460528252312384,0.5930225548111956,0.5821917808219178,1606,0,876.9608373213689
raw_selected_signal,lightgbm_dynamic_compact,20260701_200954,1529,0.5474166121648136,0.45327328066642797,0.4174357921127303,0.5474166121648136,1529,0,693.0548461389684
raw_selected_signal,logit_dynamic_compact,20260701_191230,319,0.5705329153605015,-0.044958913357414095,0.3504810352206178,0.5705329153605015,207,112,-14.341893361015096
raw_selected_signal,logit_dynamic_compact,20260701_191745,221,0.5610859728506787,0.9177811577937968,0.39972851771485907,0.5610859728506787,142,79,202.8296358724291
raw_selected_signal,logit_dynamic_compact,20260701_192258,209,0.4258373205741627,-0.10725279675380514,-0.3170928923634797,0.4258373205741627,80,129,-22.415834521545275
raw_selected_signal,logit_dynamic_compact,20260701_192811,172,0.6104651162790697,0.6485546412721273,0.45169768057573556,0.6104651162790697,52,120,111.55139829880589
raw_selected_signal,logit_dynamic_compact,20260701_193325,230,0.6521739130434783,1.3826605869601563,1.4267981223325954,0.6521739130434783,112,118,318.01193500083593
raw_selected_signal,logit_dynamic_compact,20260701_193836,137,0.5474452554744526,0.4631552098359602,0.5028338879875527,0.5474452554744526,93,44,63.452263747526544
raw_selected_signal,logit_dynamic_compact,20260701_194351,171,0.7485380116959064,1.9383894518626075,2.0149120281010013,0.7485380116959064,114,57,331.4645962685059
raw_selected_signal,logit_dynamic_compact,20260701_194906,164,0.5792682926829268,0.2767739805839282,0.49016607920782107,0.5792682926829268,105,59,45.39093281576423
raw_selected_signal,logit_dynamic_compact,20260701_195416,83,0.7710843373493976,1.0957467916133745,0.6878392536457945,0.7710843373493976,30,53,90.94698370391008
raw_selected_signal,logit_dynamic_compact,20260701_195929,165,0.5818181818181818,0.6755516072885409,0.7896472209034666,0.5818181818181818,105,60,111.46601520260924
raw_selected_signal,logit_dynamic_compact,20260701_200443,253,0.6007905138339921,0.5694463894534385,0.7521668673837745,0.6007905138339921,151,102,144.06993653171995
raw_selected_signal,logit_dynamic_compact,20260701_200954,120,0.5,0.2599407600275087,-0.008342555966045495,0.5,59,61,31.192891203301045
raw_selected_signal,xgboost_dynamic_full,20260701_191230,2381,0.5577488450230995,0.5289826385851756,0.41817663279264394,0.5577488450230995,2381,0,1259.507662471303
raw_selected_signal,xgboost_dynamic_full,20260701_191745,2289,0.4630843162953255,0.07789731006131091,-0.4001450525814576,0.4630843162953255,2289,0,178.30694273034067
raw_selected_signal,xgboost_dynamic_full,20260701_192258,2128,0.3848684210526316,-0.5406472632178705,-0.7351572558494945,0.3848684210526316,2128,0,-1150.4973761276283
raw_selected_signal,xgboost_dynamic_full,20260701_192811,1983,0.45537065052950076,-0.2416395995995117,-0.21760763836309316,0.45537065052950076,1983,0,-479.1713260058317
raw_selected_signal,xgboost_dynamic_full,20260701_193325,2122,0.49198868991517436,-0.15010999558113666,-0.04195374918025685,0.49198868991517436,2122,0,-318.533410623172
raw_selected_signal,xgboost_dynamic_full,20260701_193836,2221,0.5393966681674921,0.08861259220295173,0.23483057393525186,0.5393966681674921,2221,0,196.80856728275577
raw_selected_signal,xgboost_dynamic_full,20260701_194351,2200,0.47454545454545455,0.035781021616675575,-0.19316331218544036,0.47454545454545455,2200,0,78.71824755668626
raw_selected_signal,xgboost_dynamic_full,20260701_194906,2260,0.5716814159292035,0.3547315097159606,0.38560486733896226,0.5716814159292035,2260,0,801.6932119580711
raw_selected_signal,xgboost_dynamic_full,20260701_195416,1848,0.4199134199134199,-0.4790742550909151,-0.1680710402673924,0.4199134199134199,1848,0,-885.3292234080111
raw_selected_signal,xgboost_dynamic_full,20260701_195929,2146,0.6053122087604846,0.8255552341589548,0.520071884793083,0.6053122087604846,2146,0,1771.641532505117
raw_selected_signal,xgboost_dynamic_full,20260701_200443,2109,0.5533428165007113,0.4060697672536289,0.4006453729221704,0.5533428165007113,2109,0,856.4011391379034
raw_selected_signal,xgboost_dynamic_full,20260701_200954,2191,0.5298950251026928,0.44324263248578755,0.25077133081863323,0.5298950251026928,2191,0,971.1446077763605
